id;inverse_temperature;reward_learning_rate;eligibility_trace_decay;mixing_weight_working_memory;fai_decay_wm;choice_stickiness
1;3.19139800988334;0.0643869630194873;0.265421730176139;0.336895613715209;0.396924559387188;-0.00253639625284422
2;1.07921813463132;0.773202541571688;0.606960605310314;0.741601063646696;0.446312722218343;-0.0522378598973882
3;3.39958421339014;0.460041532428745;0.429333224795287;0.560614246867743;0.0595556035056664;-0.0261856462802858
4;2.53406223844816;0.51719486555602;0.266315723654282;0.608381264837203;0.232150572320369;-0.0515268103455428
5;3.81520859226247;0.239797639042211;0.230706701199747;0.566940841126754;0.148620995938117;0.00819092326169692
6;0.564580518075057;0.418242365863964;0.403018795990564;0.527324190396439;0.225601516037636;0.161549905324482
7;2.82157905203729;0.668624882674668;0.492475421849292;0.417205622448602;0.222075006078032;-0.0103586639913896
8;2.70522014353919;0.624168826611918;0.612583888312183;0.858826158661653;0.154951004705188;0.00560283661685988
9;2.4087128355576;0.633111057215056;0.25830187077622;0.605998677204774;0.365948579827137;-0.0167161891976988
10;2.48947292946799;0.392689804677294;0.381858106936593;0.883762231126332;0.259472941878548;0.0241590357508488
11;3.38600254991893;0.0412942337252619;0.282999693847952;0.587923489470207;0.188526372667304;0.00404432759152432
12;2.88221242774514;0.652635066773838;0.211112261028781;0.62965721812279;0.440237295301814;0.0663066697575137
13;3.21886441174393;0.367169374066527;0.457090135944545;0.428731300973482;0.00829213910715697;-0.0278036615361119
14;2.4491376882501;0.873980454368143;0.433149923622513;0.805267283790463;0.605042389869435;-0.105571853934809
15;1.24503750113845;0.906063039711439;0.875586268338056;0.391046481361414;0.651697761175747;0.295525083376663
16;2.61515778753072;0.755657285747631;0.310216450456491;0.84172214300535;0.284287426383607;0.0948122220639188
17;3.2741274352561;0.168025191604959;0.47208617266525;0.129378189854422;0.210004149430687;0.0778209567607136
18;3.66721153818295;0.644507738287531;0.491009111740111;0.800134936839252;0.214665691859471;0.0140997921010641
19;2.36864740557519;0.423659071671947;0.22396274222126;0.686704402625812;0.0942371372592214;-0.0417661349701101
20;2.73500122142371;0.39097790832067;0.211435076277093;0.205465708323553;0.502204028009666;0.0686984065742265
21;1.31813355306763;0.589838322654387;0.426350806931322;0.842816796145464;0.032511018563616;0.0247588470463196
