id;inverse_temperature;reward_learning_rate;eligibility_trace_decay;mixing_weight_working_memory;choice_stickiness
1;1.82599379753941;0.646396346759176;0.377442725101515;0.693283473191377;-0.00632134461452245
2;0.73829545271742;0.875863094002311;0.654035863492195;0.484881314507186;-0.0848051917893771
3;2.86176087503849;0.78592827588294;0.602770959514034;0.746125024953723;-0.0304674615836428
4;1.93530059015101;0.868293087508879;0.38670155682046;0.786821431635376;-0.0670612060592903
5;2.43177428218743;0.804149864478333;0.496131435256859;0.842023667886969;0.0034221355081815
6;0.562186794837531;0.551526699551587;0.447732594103095;0.617720608555131;0.165735478224161
7;2.60753965869964;0.771814117677521;0.487084429543469;0.538092036712208;-0.01166883031471
8;1.96827403500292;0.923180995916263;0.710604395411288;0.806685626632928;0.0178824387164945
9;1.80230098428435;0.796725888876661;0.305577373336781;0.615618606829329;-0.0257010529914193
10;1.64004388397967;0.931683092061867;0.41360013570749;0.880602694203764;0.0399354830760386
11;1.55580471961951;0.720935442401197;0.36554547758451;0.558278281339869;0.0173791058771712
12;1.99160945135168;0.852374545464308;0.284745470773006;0.60680647929018;0.0991405549550434
13;3.03342524212189;0.663461963308451;0.665550148556417;0.706802887295693;-0.0269621422371431
14;1.51215294961467;0.937708482170875;0.420689317892696;0.484778469327066;-0.184191595220125
15;0.953146864435897;0.922454046070603;0.872368040148822;0.150230994600803;0.385085690705599
16;1.75236824505856;0.903969216149562;0.311796937951607;0.742136384931654;0.147673550678387
17;3.12171660900739;0.206749603623336;0.43738638767614;0.135357993571419;0.0827003991649499
18;2.48232631113075;0.870947482916437;0.498725023834465;0.738307597326819;0.0343997942878691
19;1.78105493047252;0.920664441165561;0.423967529260546;0.762153862607679;-0.0553453899983753
20;2.62683930159418;0.457772833800273;0.249398260699645;0.53357824141562;0.0718222412019758
21;1.2336203301217;0.932960255294923;0.527915115658182;0.835979584063419;0.0277664425001244
