id;inverse_temperature;reward_learning_rate;eligibility_trace_decay;mixing_weight_low_gain;mixing_weight_high_gain;mixing_weight_low_loss;mixing_weight_high_loss;choice_stickiness;response_stickiness
10_001;0.405060164927378;0.797939071225527;0.360371450779787;0.793224024797951;0.850074038494258;0.7169973257395;0.498539329788801;0.171283585967739;-1.73622062358415
10_003;0.464913319666157;0.872372626945245;0.720108594277232;0.788375622539353;0.733045429827148;0.787463969954912;0.88844399574767;0.53699569852351;-0.416319822050447
10_005;0.336914270171157;0.912123610047373;0.172190550888486;0.377894048971395;0.905299446195725;0.677383823244981;0.887583545048523;-1.4484009796399;-0.700477319277844
10_006;0.592033723112765;0.975471027016477;0.326687440194581;0.880555691519194;0.888015409510147;0.732064118550155;0.635596085500572;-0.109616073298532;0.0642409981607999
10_008;0.472941888025578;0.864556405920669;0.388363212086724;0.847770540067526;0.836162570770085;0.686504003830209;0.831290384530273;0.947858757606855;-0.0197539715820665
10_009;0.405146371569888;0.891699189863322;0.232707771935816;0.688306339319984;0.67784458269076;0.719131792405704;0.853267306177207;1.24414815979479;-0.200785874836489
10_011;0.685049327320652;0.969973445503445;0.647042894450146;0.933850624937321;0.754785200085557;0.869739168682812;0.940067650416908;-0.460425077720081;-0.283426872218378
10_012;0.396193809404107;0.870453324620466;0.499014859035155;0.654596550972084;0.791534758101154;0.761735378539768;0.692930234371587;0.133437723122874;-1.18950699651806
10_013;0.506942198516792;0.952926491713292;0.961828777157698;0.342967988403097;0.222492791552169;0.132803410640958;0.239069752219499;0.104677757086743;-0.579323489595435
10_014;0.341413687757189;0.953500594632676;0.706054044295472;0.719395974765096;0.872174871445469;0.696675163102097;0.873460864628885;0.889717185569126;-0.0327059426876558
10_015;0.357096792739151;0.85738284797829;0.508194866730677;0.737272117079241;0.810409469366949;0.580134979519166;0.818668965083172;0.152658475012504;-0.601789691832203
10_016;0.55523930067951;0.970495650092551;0.632651683754208;0.907556786238912;0.867808965392126;0.905652660994451;0.946176095766873;-0.0718562794073634;-0.326216437564675
10_017;0.416284331687826;0.925479566183195;0.850858550750552;0.41716837471887;0.545516073422213;0.773092530476054;0.916470746984938;0.708456706795904;-0.255216875915318
10_018;0.417127632515622;0.964370643591887;0.455630679255122;0.832530096836653;0.868204038528011;0.918225170229247;0.904429927098105;-0.371047510965986;-0.324230657618278
10_019;0.347865675694693;0.95172727365609;0.411205347339815;0.773492384241056;0.818593134519608;0.895981999659286;0.858934583304274;-0.0506567880775838;-0.240044608832713
10_020;0.337276289000946;0.959827215361991;0.69923351515248;0.765571609519896;0.904981378258493;0.76992793049606;0.836583756765461;-0.552400968656232;0.0750219450296701
10_021;0.55505774892696;0.908234330113793;0.662055747187503;0.637543370567849;0.700812662598896;0.779900395267492;0.758666863093633;0.843877778915156;-0.234832157430076
10_024;0.587540569919881;0.954757889194315;0.331810652898376;0.741987602484792;0.905109556482057;0.91428313739734;0.879165339433177;0.893251832116321;-0.0409380981307986
10_025;0.49085658499245;0.932539624541028;0.447630723519882;0.783228609443687;0.652618759446462;0.390305781781855;0.907602977144244;0.864580582892856;-0.963898187960668
10_029;0.720598301865609;0.924871940279701;0.596341555001044;0.747377139210417;0.772718336091063;0.869382128080109;0.920515292854277;0.365011643876846;-0.0221449038556098
10_035;0.893155379603243;0.969459651367719;0.65936948686201;0.883846209655023;0.902947595821011;0.842554712305962;0.882223445104467;-0.794401136532461;-0.155162520776085
10_037;0.46178618021442;0.969100643338165;0.862198044918764;0.895601033481944;0.810923759235906;0.730221636215869;0.879004633809664;0.745996104842699;0.831295102916206
10_046;0.447825212903122;0.875131824779407;0.707847935111726;0.341820015943345;0.811875375734227;0.88090791900652;0.754355073007446;0.283740854977196;-0.84044981092936
10_047;0.70288669498005;0.0797301084127599;0.424430696438798;0.314397564811455;0.521330732795229;0.406698707731188;0.537871855710999;0.515103036646399;-1.44214564578043
10_048;0.445674057595144;0.834846661507418;0.746138924934333;0.587676096944327;0.510391903853889;0.800746049143983;0.602884528961776;-0.155875844494427;0.189802581161239
10_049;0.151600072822405;0.881029470831815;0.587996636430937;0.310046678371662;0.624234088881796;0.584378987479183;0.707544853605465;-0.326883174807522;-0.126041150328469
10_050;0.305051866651304;0.565998889450997;0.132564884598973;0.32846973825275;0.947632005788544;0.0836367880153797;0.923887023675401;0.59957328932221;-0.223796194710296
10_051;0.818340122569647;0.935681534637267;0.628927415816776;0.847933779543364;0.804480020625953;0.838221850806807;0.924923153681181;0.120732062079927;0.292560624917815
10_052;0.756362097393349;0.881660450701708;0.795273462834406;0.767258648785611;0.711616571561866;0.871716153345639;0.727127935026694;0.342179166026907;0.179845927299712
10_061;0.298626502256144;0.895730110106651;0.842389382180711;0.391387408853531;0.571305217038655;0.434062306250381;0.440567694585551;0.527832470693738;-0.864363869571784
10_064;0.739769111823846;0.972495415039894;0.320446478296608;0.890778452549896;0.871426152000976;0.897355310439528;0.909095401241328;-0.925688710162435;-0.045016388626056
10_067;0.443362899729257;0.966862204239429;0.940737590578872;0.474562113477671;0.744393640701467;0.503103256234308;0.501690087911168;0.613844084043765;-0.720693771651391
10_069;0.490512558957175;0.924606939775087;0.907400296821869;0.234560714450662;0.242610317927666;0.134170561785571;0.14922651406953;0.582313716067359;-0.192452747547638
10_075;0.245195701239158;0.498366320422096;0.362641017361176;0.223008625565966;0.830403344118548;0.263747788634322;0.839567838371064;0.184775511936747;-2.38462913036251
10_077;0.581613284933507;0.756794551547197;0.562038962837818;0.766105142579388;0.594504740243854;0.768181402110335;0.472587756764134;0.410551092145679;-0.195148946869335
10_080;0.312719460021411;0.887449314649886;0.799035920104293;0.522349957226987;0.449587157263579;0.443428178217845;0.228278951911551;0.362496714839351;-0.300723365087997
10_083;0.612615195425408;0.935390911218842;0.43192072656778;0.745210571380669;0.923614046169672;0.93594144579087;0.826855209341643;-0.130004727499354;-0.143803687229407
10_084;0.457334966201726;0.81914318971897;0.680447385185228;0.279570887349772;0.443568069779568;0.597492509737198;0.327378277687448;1.36424732272833;0.190821113468734
10_086;0.307866628089045;0.95512484198178;0.634861841333145;0.565109447529619;0.824010903845049;0.842746538275424;0.789259064063478;-0.305062576019023;-1.36087030205664
10_088;0.480297603043243;0.922881883799145;0.341361594532501;0.674244764867535;0.685901485446351;0.7278073347745;0.845856290864483;0.434633956286797;0.0701970091748716
10_089;0.625361392253916;0.891042381825363;0.378992937430234;0.741577170326584;0.79453967892644;0.825193319349985;0.880316135646682;0.0255146820281392;-0.0971694851009151
