id;inverse_temperature;reward_learning_rate;eligibility_trace_decay;mixing_weight_low_gain;mixing_weight_high_gain;mixing_weight_low_loss;mixing_weight_high_loss;fai_decay_wm;choice_stickiness;response_stickiness
10_001;0.639264803816832;0.182952828725049;0.330679766580482;0.597650559008435;0.77407049311903;0.532501622602358;0.421656028548023;0.246242261530124;0.256893772188278;-1.2426335768855
10_003;0.934901518082023;0.0330931139397171;0.36900791165147;0.521480698434787;0.449525244210775;0.619948701368141;0.831484429710956;0.265177462973713;0.405985960953214;-0.178311010055734
10_005;1.21054387743495;0.0149257474505948;0.296867069068909;0.143184145382639;0.817132500241888;0.198270812706463;0.754903000371089;0.402287148101944;-0.636268657911678;-0.230429254514812
10_006;0.920120573947954;0.35076069860722;0.489316712142406;0.907929349700234;0.761793752653203;0.805270459532146;0.69046659105315;0.335182752021937;0.103894664861034;0.0700635665851051
10_008;0.694252919357132;0.285118961374566;0.215849019227466;0.728502946287474;0.626368106141597;0.620313587310981;0.682133577051126;0.12214341890093;0.876897563722148;-0.012370961479889
10_009;0.551888487205441;0.870767313350976;0.1936648917654;0.708787212478601;0.623063062162305;0.593091410989798;0.845582664353042;0.379520715047535;1.17912783861448;-0.109701188802624
10_011;1.75288113107191;0.0250789611663668;0.316048419686385;0.547098961394036;0.447608292758973;0.683100562047074;0.90544394235716;0.293895319842194;0.0376592277048736;-0.0674930002520112
10_012;0.494941867067691;0.765449381434206;0.424032544367335;0.645859534387323;0.788821395810453;0.736937790999866;0.743307408733149;0.257172799027276;0.234355718156335;-0.988946315404501
10_013;0.566191185585245;0.953404373215329;0.963165210803115;0.465352398498047;0.327259293403799;0.205899357178614;0.206467060005305;0.582229166732453;0.241165284242516;-0.550584259762071
10_014;0.776152076784541;0.0420581935150201;0.369226271160626;0.599759833705748;0.512768243592413;0.57422432095406;0.812209010559351;0.390132699134359;0.536040890361176;0.00513456645534817
10_015;0.733863426044069;0.11079114824118;0.442875050041931;0.522622776938495;0.747295697874896;0.318369836574981;0.673432685431623;0.35118969069729;0.206545470828918;-0.353013480193948
10_016;1.49219798369585;0.0220105686920845;0.219154697195541;0.577911044315222;0.407795011355636;0.515356533788975;0.891471419045495;0.30975730044083;0.199070483610057;-0.0941937701973078
10_017;0.850712551366431;0.0584565394683277;0.573836535660637;0.307916018168502;0.654641738547938;0.496154971864689;0.798518156862011;0.2156847651305;0.544887636437555;-0.07620983149617
10_018;1.1093993427488;0.020872144679938;0.20782116480164;0.349953569558087;0.769501632740821;0.370612547667529;0.81331886993949;0.354042561263819;-0.133227208951008;-0.165798641109595
10_019;0.776501740899433;0.0265186755512973;0.326617239854293;0.40432912963294;0.731952892522152;0.483078033318373;0.755343877755921;0.326189283815057;0.116752461033491;-0.139896018454998
10_020;0.830448617039629;0.0313981329469144;0.28267837669661;0.320730149832096;0.827188141710294;0.497044063670355;0.560822774805225;0.280151843880087;-0.171491713280007;0.0111918441875938
10_021;0.779918499486284;0.86060964771693;0.705125506048602;0.678378371749747;0.544366310488118;0.748300652757336;0.869527076853157;0.336284427903817;1.01782852564548;-0.21554857471538
10_024;1.17869503649091;0.0398110902421115;0.357715853459852;0.529934726081661;0.744444667451894;0.785283902684788;0.620301873225208;0.163984764748494;0.737462726141098;-0.0390174092032732
10_025;0.634353065490751;0.854592537037138;0.466355370420945;0.681954598289251;0.744105999617998;0.402883055420223;0.915381051287484;0.158431287479399;0.930551567047199;-0.85245906908055
10_029;1.21631429038438;0.0525066818539328;0.349423331127339;0.452064316861046;0.821644574061716;0.605852651472085;0.637803395485728;0.0565241716048869;0.364645941095329;0.0332916667699208
10_035;1.47310196560953;0.64284827073829;0.736529228208853;0.915084992820138;0.928543304945256;0.787591389604382;0.772082619345398;0.307261492526976;-0.0340439613087932;-0.11374806193497
10_037;0.985328778319909;0.0748129037520011;0.364891319253401;0.58844281300415;0.61418544242778;0.560978583043182;0.504601122477544;0.220702369772352;0.627711635662632;0.353250253125342
10_046;0.569643360124877;0.598740487157219;0.797262042797698;0.304526686641901;0.762568942466612;0.871463582318167;0.777744489154238;0.216269270837497;0.362435612851938;-0.729040626640987
10_047;0.57030760440597;0.13567296521154;0.465483996053725;0.296313961117475;0.181039101013487;0.162658767249369;0.15976306646457;0.676076085084803;0.596360876730284;-1.74258152836106
10_048;0.573171140188419;0.792139084820532;0.733419671926937;0.524556899985217;0.413215580148759;0.769281553370727;0.663114033166082;0.506562323813646;0.181145880788113;0.0464714553546896
10_049;0.370253165021048;0.0708873397639261;0.437910435264204;0.111141163156048;0.70521283779076;0.360579952917739;0.650129685479446;0.453055367571438;-0.167852752570872;-0.0715052013827377
10_050;1.20975198881343;0.0118200643436296;0.257205389866218;0.0277251929894928;0.830406681232767;0.0112494106148418;0.772328663193453;0.302004286325994;0.173572441845401;0.034125571751393
10_051;1.15345603821053;0.781106040801894;0.665729961957159;0.777779497690332;0.680725271149213;0.801585947968732;0.885947596807792;0.172606957179826;0.593037557865543;0.197097960572485
10_052;1.88628571285688;0.105829153431513;0.31833994652158;0.49609977286835;0.41125857663207;0.310791990717922;0.507967026599762;0.077069707269364;0.301288476285931;0.0318162224815941
10_061;0.334424106113484;0.862629626798064;0.841753936765147;0.467441629086467;0.626953490153841;0.381169685171207;0.41637884137435;0.190246764386789;0.54420575300406;-0.753978059281694
10_064;1.60523708434245;0.0441532071523755;0.234769812719207;0.737634376885354;0.709347609424892;0.653423929495752;0.85560097869279;0.292207085861093;-0.31210355608546;0.0186392909923866
10_067;0.503308403880402;0.947500915134621;0.943880847851355;0.521360543559;0.69109956991539;0.565458285281726;0.579049965559195;0.157164174108552;0.724479882626046;-0.641748130133771
10_069;0.5860779566249;0.89648161481176;0.900974272025261;0.341254693358165;0.339328963714403;0.327507942445415;0.192500008261488;0.54470915754372;0.599163401279363;-0.188883766572096
