id;inverse_temperature;learning_rate;eligibility_trace_decay;mixing_weight_low_effort;mixing_weight_high_effort_0;mixing_weight_high_effort_1;fai_decay_wm
subject1;3.36159969244088;1.77448816252897e-08;0.107017035457967;0.0263579994640894;0.235797512763227;3.01127369202789e-09;0.500697871971564
subject2;8.27572083547877;0.88170431259523;1.73766933310591e-08;0.999999996603774;0.835990399292933;0.999999984867742;0.536321307986577
subject3;10.3604437539979;0.999999950669896;0.635373681168691;0.786330342036726;0.930545752591312;0.938028452261911;0.300596090140379
subject4;9.10945131342991;0.0915343644107753;0.999999782575441;0.516866740281611;0.227063797754985;0.976307725859979;0.723015100272665
subject5;2.38275805927021;0.422373740516468;0.28502192309365;0.139687693894856;1.21241678329144e-06;0.64250609564074;0.502203466839518
subject6;9.36302130487445;0.635693247570397;8.10159131506348e-08;0.999999974085446;0.845326348715484;0.999999991946754;0.427124742809595
subject7;3.37210268819902;0.00777505488876604;3.90208673343861e-07;0.0995584079031267;2.27731875593679e-07;0.0519074735815194;0.504873341051201
subject8;8.34677188430492;0.874725768868947;4.01863411878462e-09;0.999999997427568;0.852127972424221;0.948634722957295;0.320401089886665
subject9;14.0078632005796;0.0538874998858028;0.336888688500957;0.305703191476671;0.263076278292127;0.217449085949889;0.00352087416061031
subject10;10.1451516168383;0.0623384619119781;1.94824687838433e-07;0.63366120307331;0.991611525557002;0.999999980372388;0.281290943107022
subject11;12.5529587572598;0.0601435612648836;0.99999983975259;0.999999854970293;0.568874928756876;0.999999558645149;0.0717261938297447
subject12;8.56610208652481;0.0849878880650712;0.456194332310964;0.999999998262362;0.451714998240952;0.802955565728908;0.243079877035666
subject13;9.99308666839423;0.999999963771351;2.19921897651446e-09;0.999999997751262;0.80569690028036;0.999999998290997;0.268408894453629
subject14;10.8940497077617;0.61934091382062;0.411351820904326;0.814962322648631;0.653407006828752;0.719184498843141;0.0555965565423864
subject15;8.94517684237326;0.117556565762909;0.999999997444996;0.999999987205784;2.54604576380259e-09;0.690973434873865;0.478699407612485
subject16;6.35864818360999;0.760701871880465;0.587001261793647;0.466503497928155;0.354354374911301;0.778459780128498;0.0132324562369119
subject17;9.61546086832154;0.0734999033328115;1.84376366811981e-08;0.99999999806392;0.541888889851941;0.673712523061106;0.0910160429763859
subject18;8.92271362440338;0.842547803946132;0.999999994026494;0.999999995068975;0.875515223596388;0.999999994668126;0.206250339370529
subject19;9.65898498996199;0.172160764640129;5.49616032876296e-05;0.999977064619184;0.297191132233816;0.999628011473869;0.0177908705510717
subject20;8.22751707429249;0.196495630746962;0.999999394288873;0.999999964270383;0.999999976246902;0.745474011915853;0.225513061138183
subject21;6.398025559334;0.403297567175592;0.307761026024965;0.810634949068196;0.0645065554481192;0.704403014123723;0.423103099663287
subject22;8.37187006199856;0.0637580550368656;0.999999932563853;0.970557147239023;0.155840455344301;0.999999955224362;0.11202004750251
subject23;6.91773731694377;0.999999984977118;0.582029184233499;0.999999998823222;0.765877333720887;0.999999994168673;0.310073645390875
subject24;12.0966628303757;0.103674826433288;0.999999905398686;0.686425150160127;0.749310759805009;0.999999957027519;0.307557276754601
subject25;8.63587384100493;0.215675102088483;0.162585298723452;0.999999978933055;0.223955104739649;0.716155966364408;0.376079437282885
subject26;10.0557722411987;0.999999998608408;9.91377685304562e-08;0.966044469814232;0.916082679071192;0.781040816466257;0.347317471686923
subject27;3.30430525215512;0.140866199616997;1.4477682995756e-06;0.209475100045937;0.695699838397658;0.929852495208717;0.175971020215695
subject28;3.08831552901663;0.958257130823873;0.704193133536042;0.446354380613156;0.961615162976033;0.132562515830255;0.176828745245234
subject29;8.24228871580622;0.736100810058055;0.687157669542913;0.938179307369639;0.813686573516897;0.896137215738456;0.396876398874423
subject30;8.60567311709349;0.999999978904428;0.999999649877018;0.999999999022328;0.999999999037842;0.89018073229825;0.765623998803954
subject31;9.12320255508539;0.707343602976011;0.999999991694051;0.9999999949013;0.86271219871211;0.999999999355539;0.0736445876461591
subject32;3.39787250342996;0.00794999354246401;6.58688270652742e-07;0.752193197946193;0.317771423924361;3.16450993094215e-07;0.664634111357273
subject33;9.61029125322634;0.123252360032728;8.85510967681938e-09;0.581171558059236;3.11741578710375e-09;0.621726548775208;0.212636793974831
subject34;9.32357679286615;0.0052398053087711;5.7715574385534e-07;0.719039824128;0.408549977828257;0.999999990575318;0.461688421170887
subject35;2.34987982720716;0.231964004644675;2.70326790553368e-08;0.139188613983568;1.94760257806652e-07;0.0286457910707409;0.532828711754221
