id;inverse_temperature;learning_rate;eligibility_trace_decay;mixing_weight_low_effort;mixing_weight_high_effort_0;mixing_weight_high_effort_1
subject1;3.36096994594968;0.00565303927688775;4.47397485727231e-06;5.65917398504753e-07;0.000130707284463831;1.17280752110905e-07
subject2;3.93009539808714;0.0196097818423583;5.35607189463918e-06;0.886498628488216;0.766358610562897;0.999999417249114
subject3;6.17992028675237;0.999999873952032;0.591848325982091;0.632998069017;0.825281513043013;0.900888918692296
subject4;5.34285977180369;0.133047049243094;0.99999999072006;0.486073812588531;0.185186841219413;0.705974328924576
subject5;2.28316124326033;0.428586259579151;0.271342226331628;0.216536275840446;1.77547327111473e-05;0.365926601996441
subject6;6.27846368843171;0.0399975428107598;6.76369749374823e-08;0.643555710743645;0.443683979838157;0.999999964783527
subject7;3.36556179089939;0.00649058561343282;4.6687599270485e-07;0.113307704830033;0.121410181677472;0.126356766617139
subject8;5.32496691088357;0.810083156828782;4.44571527488283e-09;0.999999994927336;0.767413528235061;0.78267015137525
subject9;13.8386370125249;0.0545332427412869;0.336853823037157;0.304632353314396;0.260594389296939;0.217203554901821
subject10;7.86994250888964;0.0620610056969153;6.10403585745204e-08;0.519274641133975;0.837321869738716;0.830311412368932
subject11;8.31234256306415;0.0745218284974254;0.9999999464402;0.999999975473546;0.595308350877725;0.982701230075076
subject12;4.68366229205939;0.0857613462311374;0.732554383027279;0.999999997251295;0.540503488134662;0.959568968676576
subject13;6.47638708068477;0.9999999832185;2.08101823306513e-09;0.999999997894451;0.746779549246094;0.999999997054597
subject14;8.2213357923673;0.620995459598121;0.470318198393994;0.954594098300543;0.684031476788063;0.650351544395875
subject15;6.6250562809084;0.117784936104599;0.999999998414336;0.757466892413946;3.20408553237329e-09;0.33868603133779
subject16;5.80490786362822;0.808195630698675;0.610472032503529;0.506718893152861;0.336959782317254;0.859477684578863
subject17;6.21323511443129;0.0675473679707053;2.04589143651159e-08;0.999999996833517;0.56428675948259;0.972332641140889
subject18;5.69489372004521;0.999999446716057;3.9889802066798e-05;0.999999790932203;0.999999638943278;0.789307285428826
subject19;8.76901923723007;0.176321145107589;4.71411841074154e-09;0.999999997895636;0.305985396614183;0.962542632137746
subject20;5.07564745926475;0.707963494235362;2.02872083158614e-06;0.880123228642997;0.999999361351652;0.853664361282994
subject21;3.60104692710717;0.569630193850126;0.408671355533457;0.999999083653866;0.0896378657608054;0.54461800013565
subject22;6.06364516786167;0.0894269943336567;0.999999929050614;0.973495008777265;0.183154487597687;0.999999955639268
subject23;4.34683540910959;0.999999991555514;0.612707806950292;0.999999997879063;0.625149662555207;0.999999599541665
subject24;5.85606157020626;0.473652736958431;0.999999994499661;0.815448574941571;0.561323145357091;0.999999995289335
subject25;5.51637414732835;0.163952685209641;0.435514117465178;0.999999955695552;0.140333442545945;0.54323697895919
subject26;4.97436759504435;0.999999992426593;2.0952232780101e-07;0.999999987619773;0.856573996733725;0.701444700775903
