id,aic,model
1,400.8315808,Hybrid-rpe
2,428.4114867,Hybrid-rpe
3,374.7616073,Hybrid-rpe
4,301.1366296,Hybrid-rpe
5,244.8782343,Hybrid-rpe
6,277.3109548,Hybrid-rpe
7,407.5941863,Hybrid-rpe
8,257.1425872,Hybrid-rpe
9,311.1643036,Hybrid-rpe
10,423.4198828,Hybrid-rpe
11,324.4860781,Hybrid-rpe
12,397.0876228,Hybrid-rpe
13,460.8074059,Hybrid-rpe
14,420.5704306,Hybrid-rpe
15,241.1037779,Hybrid-rpe
16,457.8228488,Hybrid-rpe
17,291.0874969,Hybrid-rpe
18,363.3509909,Hybrid-rpe
19,258.6209265,Hybrid-rpe
20,300.9031153,Hybrid-rpe
21,382.4156689,Hybrid-rpe
22,436.3577204,Hybrid-rpe
23,343.1665544,Hybrid-rpe
24,320.815317,Hybrid-rpe
25,328.8208405,Hybrid-rpe
26,303.5635715,Hybrid-rpe
27,222.8076018,Hybrid-rpe
28,406.2439225,Hybrid-rpe
29,305.9787657,Hybrid-rpe
30,367.2284141,Hybrid-rpe
31,343.5266653,Hybrid-rpe
32,347.8274118,Hybrid-rpe
33,447.0011323,Hybrid-rpe
34,293.8234376,Hybrid-rpe
35,248.1017863,Hybrid-rpe
36,359.9138591,Hybrid-rpe
37,321.3263416,Hybrid-rpe
38,303.8782898,Hybrid-rpe
39,386.9846908,Hybrid-rpe
40,409.8914859,Hybrid-rpe
41,307.7573212,Hybrid-rpe
42,254.6612118,Hybrid-rpe
43,350.4027611,Hybrid-rpe
44,425.7094117,Hybrid-rpe
45,329.6971837,Hybrid-rpe
46,446.760737,Hybrid-rpe
47,332.2872812,Hybrid-rpe
48,349.6130804,Hybrid-rpe
49,455.9075286,Hybrid-rpe
50,292.4362256,Hybrid-rpe
51,297.1592386,Hybrid-rpe
52,345.7534099,Hybrid-rpe
53,439.7344318,Hybrid-rpe
54,303.5973216,Hybrid-rpe
55,441.0925123,Hybrid-rpe
56,331.2257171,Hybrid-rpe
57,383.6028212,Hybrid-rpe
58,341.3008901,Hybrid-rpe
59,385.7823685,Hybrid-rpe
60,443.8445477,Hybrid-rpe
61,169.9294075,Hybrid-rpe
62,346.9533843,Hybrid-rpe
63,367.8205537,Hybrid-rpe
64,369.7146048,Hybrid-rpe
65,454.6511906,Hybrid-rpe
66,451.3497818,Hybrid-rpe
67,425.4457838,Hybrid-rpe
68,315.3804277,Hybrid-rpe
69,342.3916543,Hybrid-rpe
70,422.2582938,Hybrid-rpe
71,358.3056664,Hybrid-rpe
72,429.7693857,Hybrid-rpe
73,292.6544861,Hybrid-rpe
74,336.5850627,Hybrid-rpe
75,438.1826565,Hybrid-rpe
76,420.2794236,Hybrid-rpe
77,431.0168217,Hybrid-rpe
78,434.0359071,Hybrid-rpe
79,453.4547628,Hybrid-rpe
80,429.2454055,Hybrid-rpe
81,255.2547968,Hybrid-rpe
82,352.4025992,Hybrid-rpe
83,443.4248429,Hybrid-rpe
84,326.8249341,Hybrid-rpe
85,314.8363382,Hybrid-rpe
86,391.7414694,Hybrid-rpe
87,300.5814137,Hybrid-rpe
88,342.2393196,Hybrid-rpe
89,398.8402202,Hybrid-rpe
90,313.0837473,Hybrid-rpe
91,417.4080809,Hybrid-rpe
92,439.5810609,Hybrid-rpe
93,390.2710126,Hybrid-rpe
94,335.9062411,Hybrid-rpe
95,323.4352881,Hybrid-rpe
96,414.1649628,Hybrid-rpe
97,454.3240894,Hybrid-rpe
98,429.4610614,Hybrid-rpe
99,252.5553761,Hybrid-rpe
100,400.7812528,Hybrid-rpe
101,406.0915528,Hybrid-rpe
