id,aic,model
62,151.4160093,Hybrid-wm
63,205.9232807,Hybrid-wm
64,56.28058417,Hybrid-wm
65,178.3035985,Hybrid-wm
66,118.4760805,Hybrid-wm
67,277.7729193,Hybrid-wm
68,161.8598055,Hybrid-wm
69,181.1632277,Hybrid-wm
70,259.4599992,Hybrid-wm
71,236.1368227,Hybrid-wm
72,195.9238055,Hybrid-wm
73,233.3426142,Hybrid-wm
74,262.6543822,Hybrid-wm
75,235.5152817,Hybrid-wm
76,241.1425283,Hybrid-wm
77,167.4962752,Hybrid-wm
78,226.9078633,Hybrid-wm
79,170.0490505,Hybrid-wm
80,254.1349881,Hybrid-wm
81,174.1712923,Hybrid-wm
82,272.7185113,Hybrid-wm
83,153.2756771,Hybrid-wm
84,215.5299426,Hybrid-wm
85,197.2389246,Hybrid-wm
86,264.4645388,Hybrid-wm
87,196.1289274,Hybrid-wm
88,203.7216287,Hybrid-wm
89,134.1187448,Hybrid-wm
90,205.6412548,Hybrid-wm
91,89.99094405,Hybrid-wm
92,182.3978742,Hybrid-wm
93,252.8906815,Hybrid-wm
94,278.5127925,Hybrid-wm
95,126.2446018,Hybrid-wm
96,248.865331,Hybrid-wm
97,266.8627365,Hybrid-wm
98,224.4304442,Hybrid-wm
1,127.9488021,Hybrid-lwm
2,246.2831373,Hybrid-lwm
3,202.128003,Hybrid-lwm
4,211.2342876,Hybrid-lwm
5,243.433144,Hybrid-lwm
6,193.16813,Hybrid-lwm
7,173.4894432,Hybrid-lwm
8,233.9862919,Hybrid-lwm
9,137.0780114,Hybrid-lwm
10,245.3420806,Hybrid-lwm
11,122.8383362,Hybrid-lwm
12,247.5067155,Hybrid-lwm
13,273.2160917,Hybrid-lwm
14,253.7784829,Hybrid-lwm
15,163.9544461,Hybrid-lwm
16,102.8940184,Hybrid-lwm
17,209.9673719,Hybrid-lwm
18,211.9122684,Hybrid-lwm
19,240.5114303,Hybrid-lwm
20,179.3149955,Hybrid-lwm
21,203.6288893,Hybrid-lwm
22,236.380875,Hybrid-lwm
23,196.5353192,Hybrid-lwm
24,160.0828395,Hybrid-lwm
25,207.6414111,Hybrid-lwm
26,235.9405174,Hybrid-lwm
27,186.8219697,Hybrid-lwm
28,197.7003445,Hybrid-lwm
29,247.9796496,Hybrid-lwm
30,188.8465691,Hybrid-lwm
31,185.5224924,Hybrid-lwm
32,230.8508158,Hybrid-lwm
33,167.0733064,Hybrid-lwm
34,164.8840055,Hybrid-lwm
35,252.9268304,Hybrid-lwm
36,124.4764445,Hybrid-lwm
37,151.6758283,Hybrid-lwm
38,194.5883662,Hybrid-lwm
39,219.8772855,Hybrid-lwm
40,249.1374673,Hybrid-lwm
41,123.3475867,Hybrid-lwm
42,245.4421304,Hybrid-lwm
43,193.1395126,Hybrid-lwm
44,168.4095208,Hybrid-lwm
45,231.2797423,Hybrid-lwm
46,201.3625696,Hybrid-lwm
47,201.7871439,Hybrid-lwm
48,221.7346794,Hybrid-lwm
49,206.9632817,Hybrid-lwm
50,239.405322,Hybrid-lwm
51,164.2648233,Hybrid-lwm
52,212.0179127,Hybrid-lwm
53,234.3303191,Hybrid-lwm
54,187.5770489,Hybrid-lwm
55,206.8066126,Hybrid-lwm
56,246.8987845,Hybrid-lwm
57,258.6511809,Hybrid-lwm
58,236.8877243,Hybrid-lwm
59,241.9856611,Hybrid-lwm
60,190.0082691,Hybrid-lwm
61,246.2787671,Hybrid-lwm
62,154.9142655,Hybrid-lwm
63,204.2309958,Hybrid-lwm
64,52.58454429,Hybrid-lwm
65,179.9358802,Hybrid-lwm
66,134.5154563,Hybrid-lwm
67,275.9268744,Hybrid-lwm
68,159.8681714,Hybrid-lwm
69,184.0877449,Hybrid-lwm
70,256.7907276,Hybrid-lwm
71,235.312558,Hybrid-lwm
72,195.6364733,Hybrid-lwm
73,245.6859243,Hybrid-lwm
74,260.7431534,Hybrid-lwm
75,231.9440687,Hybrid-lwm
76,240.1137373,Hybrid-lwm
77,170.8045467,Hybrid-lwm
78,226.5465524,Hybrid-lwm
79,168.9598093,Hybrid-lwm
80,253.7322824,Hybrid-lwm
81,181.3260636,Hybrid-lwm
82,274.2874624,Hybrid-lwm
83,185.3773762,Hybrid-lwm
84,213.9431619,Hybrid-lwm
85,196.1165727,Hybrid-lwm
86,264.3216538,Hybrid-lwm
87,218.6868858,Hybrid-lwm
88,210.9697154,Hybrid-lwm
89,151.4007449,Hybrid-lwm
90,203.4688414,Hybrid-lwm
91,87.86152367,Hybrid-lwm
92,193.7766691,Hybrid-lwm
93,256.0032979,Hybrid-lwm
94,274.0487391,Hybrid-lwm
95,130.6424369,Hybrid-lwm
96,248.150257,Hybrid-lwm
97,266.7761103,Hybrid-lwm
98,224.2321208,Hybrid-lwm
