id,aic,model
1,91.94504276,Hybrid-rpe
2,173.3837018,Hybrid-rpe
3,116.5495494,Hybrid-rpe
4,131.4942938,Hybrid-rpe
5,155.2266926,Hybrid-rpe
6,143.6118717,Hybrid-rpe
7,87.26553164,Hybrid-rpe
8,141.6520445,Hybrid-rpe
9,102.5907715,Hybrid-rpe
10,89.57791083,Hybrid-rpe
11,72.54885333,Hybrid-rpe
12,123.7174669,Hybrid-rpe
13,81.57005382,Hybrid-rpe
14,174.1782032,Hybrid-rpe
15,163.6379598,Hybrid-rpe
16,121.1247835,Hybrid-rpe
17,133.0492241,Hybrid-rpe
18,161.8030908,Hybrid-rpe
19,68.79422094,Hybrid-rpe
20,167.2343293,Hybrid-rpe
21,171.740736,Hybrid-rpe
22,109.6072628,Hybrid-rpe
23,82.070726,Hybrid-rpe
24,135.1593273,Hybrid-rpe
25,127.8179175,Hybrid-rpe
26,144.5975705,Hybrid-rpe
27,147.6989047,Hybrid-rpe
28,69.03156971,Hybrid-rpe
29,70.09332108,Hybrid-rpe
30,134.4447973,Hybrid-rpe
31,120.1775134,Hybrid-rpe
32,172.1244045,Hybrid-rpe
33,58.79032929,Hybrid-rpe
34,123.7185535,Hybrid-rpe
35,159.1743343,Hybrid-rpe
36,111.0276345,Hybrid-rpe
37,156.2320368,Hybrid-rpe
38,151.267969,Hybrid-rpe
39,176.9194343,Hybrid-rpe
40,115.2929959,Hybrid-rpe
41,178.6659269,Hybrid-rpe
42,154.5933986,Hybrid-rpe
43,90.44645101,Hybrid-rpe
44,81.20728209,Hybrid-rpe
45,112.4843505,Hybrid-rpe
46,150.2011221,Hybrid-rpe
47,158.0852688,Hybrid-rpe
48,95.79053572,Hybrid-rpe
49,173.0913752,Hybrid-rpe
50,159.803458,Hybrid-rpe
51,85.02184361,Hybrid-rpe
52,124.0011129,Hybrid-rpe
53,178.7169815,Hybrid-rpe
54,162.2136936,Hybrid-rpe
55,131.3603337,Hybrid-rpe
56,147.9520264,Hybrid-rpe
57,98.7701574,Hybrid-rpe
58,173.5465508,Hybrid-rpe
59,156.7546262,Hybrid-rpe
60,138.7753895,Hybrid-rpe
61,158.0907367,Hybrid-rpe
62,71.74996429,Hybrid-rpe
63,119.5660576,Hybrid-rpe
64,171.0840619,Hybrid-rpe
65,158.6436272,Hybrid-rpe
66,168.9895192,Hybrid-rpe
67,139.7558592,Hybrid-rpe
68,98.00700283,Hybrid-rpe
69,164.1442951,Hybrid-rpe
70,52.08217846,Hybrid-rpe
71,161.0760054,Hybrid-rpe
72,157.614103,Hybrid-rpe
73,180.1162608,Hybrid-rpe
74,148.0393372,Hybrid-rpe
75,144.0138305,Hybrid-rpe
76,119.6016617,Hybrid-rpe
77,157.0074007,Hybrid-rpe
78,133.4599245,Hybrid-rpe
79,157.07161,Hybrid-rpe
80,162.5738942,Hybrid-rpe
81,85.07576159,Hybrid-rpe
82,153.468952,Hybrid-rpe
83,153.7982138,Hybrid-rpe
84,161.1370464,Hybrid-rpe
85,96.98140265,Hybrid-rpe
86,169.8155395,Hybrid-rpe
87,152.7907961,Hybrid-rpe
88,171.5647019,Hybrid-rpe
89,80.77109022,Hybrid-rpe
90,153.0280175,Hybrid-rpe
91,141.0968734,Hybrid-rpe
92,139.0652409,Hybrid-rpe
93,142.4666825,Hybrid-rpe
94,119.3766106,Hybrid-rpe
95,78.47334305,Hybrid-rpe
96,138.3501414,Hybrid-rpe
97,147.0862213,Hybrid-rpe
98,174.8277134,Hybrid-rpe
99,118.5019823,Hybrid-rpe
100,135.91427,Hybrid-rpe
101,121.7734174,Hybrid-rpe
102,124.2693099,Hybrid-rpe
103,147.3264991,Hybrid-rpe
104,93.84556022,Hybrid-rpe
105,126.2325127,Hybrid-rpe
106,85.71237043,Hybrid-rpe
107,180.323208,Hybrid-rpe
108,65.451259,Hybrid-rpe
109,138.5884904,Hybrid-rpe
110,118.4255281,Hybrid-rpe
111,135.705332,Hybrid-rpe
112,80.07475941,Hybrid-rpe
113,175.0326197,Hybrid-rpe
114,163.8717954,Hybrid-rpe
115,160.6979951,Hybrid-rpe
116,147.8089594,Hybrid-rpe
117,83.44222697,Hybrid-rpe
118,155.4375816,Hybrid-rpe
119,152.386888,Hybrid-rpe
120,159.1128647,Hybrid-rpe
121,147.9062722,Hybrid-rpe
122,164.7626177,Hybrid-rpe
123,132.5307348,Hybrid-rpe
124,16.72355504,Hybrid-rpe
125,89.35104418,Hybrid-rpe
126,107.4953116,Hybrid-rpe
127,155.651836,Hybrid-rpe
128,142.0739362,Hybrid-rpe
129,162.9594104,Hybrid-rpe
130,138.356373,Hybrid-rpe
131,166.5774448,Hybrid-rpe
132,176.3922183,Hybrid-rpe
133,117.9659635,Hybrid-rpe
134,116.467901,Hybrid-rpe
135,131.896722,Hybrid-rpe
136,149.3557511,Hybrid-rpe
137,109.2564746,Hybrid-rpe
138,181.3245136,Hybrid-rpe
139,157.9651348,Hybrid-rpe
140,159.9199768,Hybrid-rpe
141,148.7306347,Hybrid-rpe
142,136.2653778,Hybrid-rpe
143,171.5910768,Hybrid-rpe
144,145.2274904,Hybrid-rpe
145,125.8945419,Hybrid-rpe
146,160.3921691,Hybrid-rpe
147,158.6149499,Hybrid-rpe
148,81.63656898,Hybrid-rpe
149,172.8809126,Hybrid-rpe
150,89.70355188,Hybrid-rpe
151,110.0742989,Hybrid-rpe
152,148.1882627,Hybrid-rpe
153,166.8871105,Hybrid-rpe
154,100.337397,Hybrid-rpe
155,148.0819825,Hybrid-rpe
156,121.053405,Hybrid-rpe
157,121.3455851,Hybrid-rpe
158,106.96745,Hybrid-rpe
159,113.8048717,Hybrid-rpe
160,139.4148969,Hybrid-rpe
161,161.2134366,Hybrid-rpe
162,164.2343236,Hybrid-rpe
163,157.1116499,Hybrid-rpe
164,66.63936765,Hybrid-rpe
165,91.79825776,Hybrid-rpe
166,138.1102086,Hybrid-rpe
167,123.7169989,Hybrid-rpe
168,178.1458731,Hybrid-rpe
169,165.8796106,Hybrid-rpe
170,156.5305567,Hybrid-rpe
171,144.9832272,Hybrid-rpe
172,155.8273139,Hybrid-rpe
173,115.2381689,Hybrid-rpe
174,104.0843733,Hybrid-rpe
175,140.1287677,Hybrid-rpe
176,127.6458484,Hybrid-rpe
177,143.1226236,Hybrid-rpe
178,120.0403361,Hybrid-rpe
179,136.1301696,Hybrid-rpe
180,74.56510346,Hybrid-rpe
181,70.03232293,Hybrid-rpe
182,173.7098775,Hybrid-rpe
183,120.8046621,Hybrid-rpe
184,130.1485912,Hybrid-rpe
1,80.54055259,Hybrid-wm
2,175.4100692,Hybrid-wm
3,117.1040838,Hybrid-wm
4,126.5513808,Hybrid-wm
5,157.5802264,Hybrid-wm
6,140.6502619,Hybrid-wm
7,89.98140271,Hybrid-wm
8,139.8946964,Hybrid-wm
9,95.77288858,Hybrid-wm
10,78.69402029,Hybrid-wm
11,63.1037265,Hybrid-wm
12,125.2604092,Hybrid-wm
13,83.28813332,Hybrid-wm
14,176.4859844,Hybrid-wm
15,166.5407101,Hybrid-wm
16,122.3320022,Hybrid-wm
17,134.7672842,Hybrid-wm
18,154.6920232,Hybrid-wm
19,61.65135504,Hybrid-wm
20,170.3207033,Hybrid-wm
21,168.9260628,Hybrid-wm
22,76.16701615,Hybrid-wm
23,82.02617822,Hybrid-wm
24,117.107859,Hybrid-wm
25,129.5621817,Hybrid-wm
26,141.6628295,Hybrid-wm
27,149.5501567,Hybrid-wm
28,70.67225199,Hybrid-wm
29,49.8339125,Hybrid-wm
30,137.6686117,Hybrid-wm
31,102.3176004,Hybrid-wm
32,171.9632019,Hybrid-wm
33,61.36779343,Hybrid-wm
34,124.1818427,Hybrid-wm
35,161.2038101,Hybrid-wm
36,103.1021213,Hybrid-wm
37,154.9655164,Hybrid-wm
38,151.8558162,Hybrid-wm
39,179.0655876,Hybrid-wm
40,111.5304503,Hybrid-wm
41,181.0922876,Hybrid-wm
42,159.4101585,Hybrid-wm
43,88.44306022,Hybrid-wm
44,83.07888313,Hybrid-wm
45,110.5128662,Hybrid-wm
46,151.6891647,Hybrid-wm
