id,aic,model
58,339.2787029,Hybrid-wm
59,214.3078452,Hybrid-wm
60,243.1491451,Hybrid-wm
61,205.8372571,Hybrid-wm
62,249.3645046,Hybrid-wm
63,221.4610653,Hybrid-wm
64,321.0520347,Hybrid-wm
65,253.6418747,Hybrid-wm
66,441.5493511,Hybrid-wm
67,270.3051121,Hybrid-wm
68,331.2539051,Hybrid-wm
69,394.4866327,Hybrid-wm
70,395.5086605,Hybrid-wm
71,216.0174106,Hybrid-wm
72,471.320178,Hybrid-wm
73,271.449597,Hybrid-wm
74,422.7269281,Hybrid-wm
75,331.0750956,Hybrid-wm
76,373.1013087,Hybrid-wm
77,405.8490547,Hybrid-wm
78,350.3345007,Hybrid-wm
79,344.9255424,Hybrid-wm
80,464.6510187,Hybrid-wm
81,284.8620905,Hybrid-wm
82,374.0139891,Hybrid-wm
83,273.384055,Hybrid-wm
84,472.063383,Hybrid-wm
85,408.3433831,Hybrid-wm
86,422.178098,Hybrid-wm
87,425.8656361,Hybrid-wm
88,243.0273618,Hybrid-wm
89,385.9349459,Hybrid-wm
90,219.6547767,Hybrid-wm
91,234.5068958,Hybrid-wm
92,412.2948239,Hybrid-wm
93,405.1743058,Hybrid-wm
94,305.9573653,Hybrid-wm
95,271.6009013,Hybrid-wm
96,423.6296219,Hybrid-wm
97,320.7216038,Hybrid-wm
98,225.9037041,Hybrid-wm
99,269.587473,Hybrid-wm
100,358.3652155,Hybrid-wm
101,357.763281,Hybrid-wm
102,231.3857088,Hybrid-wm
1,484.4431174,Hybrid-lwm
2,379.2568015,Hybrid-lwm
3,283.3476253,Hybrid-lwm
4,406.5613725,Hybrid-lwm
5,458.0294601,Hybrid-lwm
6,337.9035327,Hybrid-lwm
7,475.9323856,Hybrid-lwm
8,324.5241699,Hybrid-lwm
9,340.1326792,Hybrid-lwm
10,295.769101,Hybrid-lwm
11,230.4640862,Hybrid-lwm
12,350.0487136,Hybrid-lwm
13,276.261036,Hybrid-lwm
14,231.2691795,Hybrid-lwm
15,352.8326656,Hybrid-lwm
16,316.8208497,Hybrid-lwm
17,273.5796955,Hybrid-lwm
18,315.8252232,Hybrid-lwm
19,219.2748532,Hybrid-lwm
20,307.8475322,Hybrid-lwm
21,409.6062432,Hybrid-lwm
22,316.7744886,Hybrid-lwm
23,350.1489602,Hybrid-lwm
24,306.7997485,Hybrid-lwm
25,366.7704157,Hybrid-lwm
26,314.2833929,Hybrid-lwm
27,450.402057,Hybrid-lwm
28,432.4064906,Hybrid-lwm
29,288.3428449,Hybrid-lwm
30,374.632047,Hybrid-lwm
31,298.7683051,Hybrid-lwm
32,467.818055,Hybrid-lwm
33,381.2237894,Hybrid-lwm
34,399.101179,Hybrid-lwm
35,456.3556696,Hybrid-lwm
36,470.4004987,Hybrid-lwm
37,313.7610778,Hybrid-lwm
38,477.9530948,Hybrid-lwm
39,331.6102377,Hybrid-lwm
40,306.7703556,Hybrid-lwm
41,325.1602085,Hybrid-lwm
42,374.39773,Hybrid-lwm
43,340.7627809,Hybrid-lwm
44,381.8769862,Hybrid-lwm
45,427.1285139,Hybrid-lwm
46,391.5294424,Hybrid-lwm
47,412.7445294,Hybrid-lwm
48,311.7153605,Hybrid-lwm
49,472.8154097,Hybrid-lwm
50,340.1882953,Hybrid-lwm
51,478.0230295,Hybrid-lwm
52,471.0501007,Hybrid-lwm
53,197.0738047,Hybrid-lwm
54,439.632828,Hybrid-lwm
55,471.3009032,Hybrid-lwm
56,405.6318535,Hybrid-lwm
57,405.2577298,Hybrid-lwm
58,335.5762375,Hybrid-lwm
59,245.345416,Hybrid-lwm
60,268.1801704,Hybrid-lwm
61,236.1690561,Hybrid-lwm
62,254.6179385,Hybrid-lwm
63,272.3063428,Hybrid-lwm
64,349.9668993,Hybrid-lwm
65,296.8252991,Hybrid-lwm
66,443.7550005,Hybrid-lwm
67,343.1839625,Hybrid-lwm
68,368.1989715,Hybrid-lwm
69,396.8371294,Hybrid-lwm
70,393.9070823,Hybrid-lwm
71,294.0964474,Hybrid-lwm
72,469.3202706,Hybrid-lwm
73,273.001906,Hybrid-lwm
74,430.3361995,Hybrid-lwm
75,396.2041524,Hybrid-lwm
76,390.2812053,Hybrid-lwm
77,412.7016182,Hybrid-lwm
78,348.1269334,Hybrid-lwm
79,367.8025638,Hybrid-lwm
80,460.8465156,Hybrid-lwm
81,318.4616188,Hybrid-lwm
82,393.0140103,Hybrid-lwm
83,284.3882226,Hybrid-lwm
84,472.7009774,Hybrid-lwm
85,430.8389434,Hybrid-lwm
86,432.8535838,Hybrid-lwm
87,436.0088359,Hybrid-lwm
88,291.4925586,Hybrid-lwm
