id,aic,model
1,409.4082553,Hybrid-rpe
2,375.9260937,Hybrid-rpe
3,373.5040886,Hybrid-rpe
4,335.1402482,Hybrid-rpe
5,264.9674121,Hybrid-rpe
6,298.2891822,Hybrid-rpe
7,463.9492054,Hybrid-rpe
8,405.8202807,Hybrid-rpe
9,302.5587419,Hybrid-rpe
10,352.1845218,Hybrid-rpe
11,417.0853196,Hybrid-rpe
12,420.9598945,Hybrid-rpe
13,479.767426,Hybrid-rpe
14,284.8096198,Hybrid-rpe
15,425.1136594,Hybrid-rpe
16,359.6574398,Hybrid-rpe
17,326.7705714,Hybrid-rpe
18,420.9423992,Hybrid-rpe
19,258.8857837,Hybrid-rpe
20,331.8661687,Hybrid-rpe
21,462.508091,Hybrid-rpe
22,418.3563142,Hybrid-rpe
23,446.8562703,Hybrid-rpe
24,489.0465733,Hybrid-rpe
25,480.3896198,Hybrid-rpe
26,347.4082425,Hybrid-rpe
27,382.6996393,Hybrid-rpe
28,315.6650147,Hybrid-rpe
29,314.1163433,Hybrid-rpe
30,402.5426716,Hybrid-rpe
31,262.9950337,Hybrid-rpe
32,446.0674599,Hybrid-rpe
33,458.9142813,Hybrid-rpe
34,441.5881026,Hybrid-rpe
35,279.0940915,Hybrid-rpe
36,442.6764581,Hybrid-rpe
37,419.8592149,Hybrid-rpe
38,483.5896431,Hybrid-rpe
39,265.9165594,Hybrid-rpe
40,321.5810656,Hybrid-rpe
41,336.9935358,Hybrid-rpe
42,414.9178821,Hybrid-rpe
43,427.5579792,Hybrid-rpe
44,244.0385965,Hybrid-rpe
45,266.1219304,Hybrid-rpe
46,488.6759936,Hybrid-rpe
47,481.7734607,Hybrid-rpe
48,462.2688187,Hybrid-rpe
49,385.4444128,Hybrid-rpe
50,274.3828275,Hybrid-rpe
51,413.0656415,Hybrid-rpe
52,319.9296049,Hybrid-rpe
53,343.9748758,Hybrid-rpe
54,388.0098298,Hybrid-rpe
55,237.6267014,Hybrid-rpe
56,435.6728224,Hybrid-rpe
57,471.0200752,Hybrid-rpe
58,345.302252,Hybrid-rpe
59,481.1551948,Hybrid-rpe
60,476.5184565,Hybrid-rpe
61,447.7107192,Hybrid-rpe
62,405.34568,Hybrid-rpe
63,370.4823384,Hybrid-rpe
64,381.3319475,Hybrid-rpe
65,443.2848755,Hybrid-rpe
66,445.5786618,Hybrid-rpe
67,430.3479473,Hybrid-rpe
68,482.9081634,Hybrid-rpe
69,395.9898648,Hybrid-rpe
70,311.3411859,Hybrid-rpe
71,293.3601711,Hybrid-rpe
72,420.1919862,Hybrid-rpe
73,421.4633024,Hybrid-rpe
74,271.8320427,Hybrid-rpe
75,415.9762444,Hybrid-rpe
76,481.1751613,Hybrid-rpe
77,409.6946411,Hybrid-rpe
78,346.8127974,Hybrid-rpe
79,394.1658408,Hybrid-rpe
80,393.3856421,Hybrid-rpe
81,423.6094182,Hybrid-rpe
82,475.1704911,Hybrid-rpe
83,453.5115088,Hybrid-rpe
84,451.0432966,Hybrid-rpe
85,400.7755217,Hybrid-rpe
86,361.4149058,Hybrid-rpe
87,398.9847753,Hybrid-rpe
88,455.5161567,Hybrid-rpe
89,295.8027283,Hybrid-rpe
90,328.4973303,Hybrid-rpe
91,276.6061404,Hybrid-rpe
92,447.1772339,Hybrid-rpe
93,445.1834113,Hybrid-rpe
94,373.9118795,Hybrid-rpe
95,285.276847,Hybrid-rpe
96,340.4521483,Hybrid-rpe
97,465.9412588,Hybrid-rpe
98,310.9642343,Hybrid-rpe
1,410.3012165,Hybrid-wm
2,343.1183438,Hybrid-wm
3,366.9239245,Hybrid-wm
4,282.7016155,Hybrid-wm
5,240.8935656,Hybrid-wm
6,293.6840388,Hybrid-wm
7,462.5598435,Hybrid-wm
8,405.6623418,Hybrid-wm
9,304.4308185,Hybrid-wm
10,348.180628,Hybrid-wm
11,403.6829629,Hybrid-wm
12,395.9895043,Hybrid-wm
13,472.9767573,Hybrid-wm
14,272.1796083,Hybrid-wm
15,459.7215991,Hybrid-wm
16,359.0093098,Hybrid-wm
17,322.1706832,Hybrid-wm
18,413.7808431,Hybrid-wm
