id,aic,model
1,523.9513959,Hybrid-rpe
2,509.6160293,Hybrid-rpe
3,583.2203998,Hybrid-rpe
4,446.5531106,Hybrid-rpe
5,477.4677526,Hybrid-rpe
6,522.7677171,Hybrid-rpe
7,379.1705428,Hybrid-rpe
8,525.2653819,Hybrid-rpe
9,470.612071,Hybrid-rpe
10,549.5782742,Hybrid-rpe
11,561.9068895,Hybrid-rpe
12,432.1985438,Hybrid-rpe
13,506.5672498,Hybrid-rpe
14,535.8177419,Hybrid-rpe
15,558.3060533,Hybrid-rpe
16,566.8497831,Hybrid-rpe
17,440.0708072,Hybrid-rpe
18,377.4336738,Hybrid-rpe
19,456.6667782,Hybrid-rpe
20,364.2227643,Hybrid-rpe
21,313.923302,Hybrid-rpe
22,461.8814064,Hybrid-rpe
23,521.8204614,Hybrid-rpe
24,560.123964,Hybrid-rpe
25,519.5610858,Hybrid-rpe
26,660.0317459,Hybrid-rpe
27,618.8156541,Hybrid-rpe
28,319.6002471,Hybrid-rpe
29,303.6038269,Hybrid-rpe
30,571.4730968,Hybrid-rpe
31,374.4471815,Hybrid-rpe
32,496.0945817,Hybrid-rpe
33,485.3874668,Hybrid-rpe
34,615.1800787,Hybrid-rpe
35,469.3955648,Hybrid-rpe
36,580.3070999,Hybrid-rpe
37,426.9079904,Hybrid-rpe
38,498.430005,Hybrid-rpe
39,577.4406642,Hybrid-rpe
40,476.3986537,Hybrid-rpe
41,435.815679,Hybrid-rpe
42,375.9546101,Hybrid-rpe
43,457.325771,Hybrid-rpe
44,539.8032248,Hybrid-rpe
45,508.9898543,Hybrid-rpe
46,452.4619952,Hybrid-rpe
47,487.3730628,Hybrid-rpe
48,623.9889583,Hybrid-rpe
49,404.7512849,Hybrid-rpe
50,462.9715275,Hybrid-rpe
51,552.8325371,Hybrid-rpe
52,459.9236019,Hybrid-rpe
53,324.9532727,Hybrid-rpe
54,615.8589014,Hybrid-rpe
55,491.8336973,Hybrid-rpe
56,431.5784826,Hybrid-rpe
57,511.9151623,Hybrid-rpe
58,426.6811309,Hybrid-rpe
59,430.5297209,Hybrid-rpe
60,493.0694413,Hybrid-rpe
61,468.8158969,Hybrid-rpe
62,671.4170697,Hybrid-rpe
63,500.6323136,Hybrid-rpe
64,439.1112866,Hybrid-rpe
65,544.7633026,Hybrid-rpe
66,455.7586347,Hybrid-rpe
67,458.0791919,Hybrid-rpe
68,355.3626754,Hybrid-rpe
69,556.0123871,Hybrid-rpe
70,395.5048031,Hybrid-rpe
71,460.7918617,Hybrid-rpe
72,413.7629058,Hybrid-rpe
73,481.4527778,Hybrid-rpe
74,508.0898148,Hybrid-rpe
75,422.2215741,Hybrid-rpe
76,524.9017088,Hybrid-rpe
77,394.0295302,Hybrid-rpe
78,412.0971196,Hybrid-rpe
79,458.2820663,Hybrid-rpe
80,461.0041037,Hybrid-rpe
81,437.8375271,Hybrid-rpe
82,502.0007315,Hybrid-rpe
83,446.9513476,Hybrid-rpe
84,502.5384477,Hybrid-rpe
85,438.5469677,Hybrid-rpe
86,482.2414514,Hybrid-rpe
87,392.5788907,Hybrid-rpe
88,439.0942211,Hybrid-rpe
89,407.6894437,Hybrid-rpe
90,434.0959917,Hybrid-rpe
91,419.2512934,Hybrid-rpe
92,495.7546641,Hybrid-rpe
93,399.4270537,Hybrid-rpe
94,536.5015117,Hybrid-rpe
95,317.1572153,Hybrid-rpe
96,594.3145237,Hybrid-rpe
97,554.117266,Hybrid-rpe
98,441.1178055,Hybrid-rpe
99,533.9456771,Hybrid-rpe
100,441.3894553,Hybrid-rpe
101,606.1804915,Hybrid-rpe
102,426.3400697,Hybrid-rpe
103,541.1639152,Hybrid-rpe
104,360.0131082,Hybrid-rpe
105,393.0652887,Hybrid-rpe
106,474.8725899,Hybrid-rpe
107,445.4116074,Hybrid-rpe
108,582.0749155,Hybrid-rpe
109,646.8218093,Hybrid-rpe
110,519.9077183,Hybrid-rpe
111,465.0669539,Hybrid-rpe
112,411.3460004,Hybrid-rpe
113,516.9855327,Hybrid-rpe
114,549.5548291,Hybrid-rpe
115,457.6766135,Hybrid-rpe
116,473.3439619,Hybrid-rpe
117,603.7889852,Hybrid-rpe
118,582.6277362,Hybrid-rpe
119,423.7919501,Hybrid-rpe
120,473.0506961,Hybrid-rpe
121,577.7020892,Hybrid-rpe
122,479.7258217,Hybrid-rpe
123,433.6481123,Hybrid-rpe
124,527.4736927,Hybrid-rpe
125,516.1692347,Hybrid-rpe
126,657.2290626,Hybrid-rpe
127,486.5098098,Hybrid-rpe
128,647.8322386,Hybrid-rpe
129,560.9036326,Hybrid-rpe
130,632.9589067,Hybrid-rpe
131,561.2927454,Hybrid-rpe
132,675.8066716,Hybrid-rpe
133,571.0013268,Hybrid-rpe
134,633.5064868,Hybrid-rpe
135,607.8525128,Hybrid-rpe
136,488.6842449,Hybrid-rpe
137,389.541568,Hybrid-rpe
138,557.0485695,Hybrid-rpe
139,610.6438347,Hybrid-rpe
140,392.8723937,Hybrid-rpe
141,427.1295294,Hybrid-rpe
142,587.9370951,Hybrid-rpe
143,543.1444857,Hybrid-rpe
144,432.214056,Hybrid-rpe
145,343.1135844,Hybrid-rpe
146,632.4264927,Hybrid-rpe
