id;inverse_temperature;reward_learning_rate;eligibility_trace_decay;mixing_weight_working_memory;choice_stickiness;response_stickiness
1;3.08082583218668;0.837662663497929;0.875111603200165;0.528605941221931;0.207533367211262;0.0229407075600893
2;0.279620496427776;0.43458046489108;0.673832375440419;0.208441498137306;0.579525158477339;0.0727269953774578
3;4.21317378976514;0.0705144800612808;0.369336723595623;0.730645957016859;0.0215664728474249;-0.00294124078697838
4;2.62018711542411;0.489234393972375;0.703110858364969;0.399248448735901;0.441864517917181;0.109233140906601
5;2.22463459793901;0.580840185395188;0.479051240861487;0.931460063004094;0.241643942147488;0.0713857438529374
6;2.52453365749875;0.69474231088124;0.538504357875758;0.813956378423969;0.497710168350174;-0.012080812335958
7;4.10958439609953;0.65332964671168;0.472259006102521;0.906861142877058;0.0153919034821874;0.0320955994583667
8;2.76160250110256;0.63975287308206;0.481702535114764;0.934518990409415;0.119198601120379;0.0176452108054867
9;1.51542624034043;0.0669375218963309;0.547068272085184;0.240638527684477;-0.120087791319877;-0.171534557020915
10;3.05720854581113;0.733494316479712;0.448401855280494;0.855293780050862;0.114528159410258;-0.00197909195944997
11;3.03362111764186;0.363025393206143;0.494959618148468;0.588540316571416;0.792982082127838;0.0101977715400703
12;2.00967100988938;0.780744463970835;0.468677587864537;0.832265569128969;0.547666114256541;0.096205372240744
13;1.30306168890466;0.689910827161903;0.634662397130582;0.875321408248382;0.197992318493622;0.0340657260609059
14;2.31222781455205;0.503146907885105;0.71355062543018;0.659152005606298;-0.00989443565398852;0.0431905714459025
15;0.838223609341551;0.436945042491928;0.48052358845224;0.826201607744379;0.179906121332505;0.19893043824349
16;3.29838282824858;0.293951602846609;0.502993721538282;0.909344676646183;0.10479431912519;0.0143309304282351
17;1.91249209170092;0.42875241732125;0.469703039607863;0.726443280945672;-0.203173751924654;-0.0542618407109464
18;1.48646216863375;0.78061059122752;0.654053131970538;0.614201828435485;0.139906240129034;0.103373201057759
19;0.965177973456675;0.0878401856541228;0.402154372416066;0.116079754707833;0.0586973514450299;1.55870013126845
20;3.05548982042104;0.659494273549514;0.710684613488772;0.8032456232728;0.208707113200234;-0.00204045206113063
21;3.10550728113444;0.221973774006303;0.370549795551651;0.628468091521501;0.407854872229944;0.0796852310825635
22;2.62836957592411;0.560845808074365;0.321230962426505;0.435007502041219;0.0664143681112963;0.0249968157270531
23;3.72157255566943;0.635009583500296;0.674694803167138;0.883341576810266;0.116792190992641;0.0714990955651366
24;4.99999994927146;0.0518112464696594;0.171398632081695;0.141495381872865;0.18213949048108;-0.0137590250512009
