id;inverse_temperature;learning_rate;eligibility_trace_decay;mixing_weight_low_effort;mixing_weight_high_effort_0;mixing_weight_high_effort_1
subject1;3.73071918726134;0.205311006900272;0.0160930158388812;5.6103127261991e-09;0.343248099944398;3.70308299042374e-09
subject2;3.64090288130712;5.3468231299161e-07;0.0407404860763407;0.999999193426168;0.670625659346367;0.754618479442938
subject3;5.4510567478575;0.378047179483832;0.382515170500296;0.803452650263961;0.282271068178605;0.731858270301519
subject4;5.75450952882273;0.999999998065404;0.999999996829266;0.573767894992085;0.999999996154434;0.999999997990565
subject5;14.302454168948;0.0825165926305736;0.999999997153082;0.241264507624253;0.00734599938057178;0.178866161824204
subject6;5.62914847982455;0.553060796731916;0.646172506229568;0.721642067469029;0.426376780032111;0.999999963559445
subject7;1.22889998277163;0.813867024420658;2.42587563485384e-08;8.30426162958837e-09;0.754622148795639;0.767492419934935
subject8;4.22374764876052;0.711399705969869;0.340912285764045;0.324716167193311;0.0459155022222134;0.170643530442371
subject9;7.43438746680772;0.253140024888414;1.46226400598783e-08;0.667619346600176;0.432879978867709;0.633439915766283
subject10;7.40239610097777;0.277258677181983;0.999999996550833;0.7730978037812;0.100484773289762;0.392840715791128
subject11;3.32821050106092;0.491099715182508;0.501531397108979;0.904808793245755;0.103190740458444;0.999999672158684
subject12;4.69649219189409;0.372801307589976;3.03819035750141e-08;0.682126694809155;0.0078953009250455;0.880878168541166
subject13;4.5301254117872;0.10201730256926;0.260441091755584;0.216977017650432;0.230850733992608;0.178931443518841
subject14;5.95248792695854;0.931420146240718;6.40517140921444e-08;0.866318089499043;0.846219318039722;0.790981913362197
subject15;3.4626134419584;0.313629347846905;0.684820903610303;8.98338192362842e-06;2.65219017048301e-07;0.068601027880759
subject16;5.04190604701505;0.0188719734629614;9.48368710711004e-07;0.825342350297929;0.769009782308703;0.999999853752692
subject17;14.4276437125846;0.101635802262226;0.338130864446728;0.121998557931567;0.141841110781397;0.0962657526437616
subject18;3.60258492775344;0.597411891934894;0.703092460673461;0.627458957326902;0.162953769857495;0.918909924590011
subject19;6.47619066325514;0.999999993419953;0.42243205239008;0.729347868833816;0.727947076182115;0.65269198511691
subject20;6.00767240845943;0.260079303355549;0.647874030807708;0.775230838521859;0.192129205100885;0.999999964486216
subject21;2.60388349556128;0.294787582630785;5.56407947080439e-08;0.607454956184088;0.486905006918951;0.625678714573342
subject22;3.36160273209831;7.52242737974088e-10;0.16424322873849;2.56435262017695e-07;2.37981742752367e-09;0.112133151850095
subject23;4.00068248544837;0.40647820407736;0.364060356554092;0.172133094849009;1.89586489758639e-09;0.255376053161117
subject24;4.42378160578804;0.0368060648221117;0.580885944620987;0.410601385773018;3.16272514549416e-09;0.210034448496461
subject25;3.34564863753772;0.0062678930206333;0.762225092239073;0.0523512641262545;0.296106786328662;0.0212490322157714
subject26;6.22155719552915;2.18410058786774e-06;0.0156830966043582;0.999999921229577;0.193794171238121;0.648973734552698
subject27;10.4931206422923;0.096930476141157;0.00525355406632584;0.338427869166949;0.223834996794395;0.379443914426602
subject28;4.44641469603357;0.999999929410675;0.999999979437816;0.999999959746266;0.818416875853687;0.523959777642237
subject29;5.70296747449064;0.999997616777363;0.195741543953935;0.892107090958869;0.74781058076575;0.761913726724751
subject30;4.91471627039149;0.308384697724298;3.36742362759751e-08;0.999999864158017;0.1671188558512;0.440539810332576
subject31;8.29897607252321;0.0911531488559971;2.42850062784646e-06;0.93060639012187;0.906235338305737;0.719946504493174
subject32;3.090644854962;0.534777136617421;0.933904601241184;0.680492400030694;0.272315287034304;0.855102154591011
