id;inverse_temperature;learning_rate;eligibility_trace_decay;mixing_weight_low_effort;mixing_weight_high_effort_0;mixing_weight_high_effort_1;fai_decay_wm
subject1;3.87656938815881;0.198428994113495;0.0174817778562383;4.64666183120211e-09;0.54687855347913;3.71779557392181e-09;0.440818371897296
subject2;7.0390978805648;6.74780737732855e-10;0.504644448597146;0.999999996171569;0.769071740753824;0.558746740595623;0.404201621739783
subject3;6.57995802788957;0.406495959509294;0.337333570254681;0.808123247350854;0.380194711229635;0.852167826364715;0.0966613760112399
subject4;9.39162880914242;0.999999998113584;0.999999996973451;0.720356028504232;0.99999999916756;0.999999998678231;0.240216383858805
subject5;15.3465593342264;0.0821105775018143;0.999999997275411;0.345609968095193;0.0263485476767865;0.275282860922534;0.264333177766
subject6;6.74389464377689;0.545593995958421;0.660068047638033;0.669436077102173;0.446653844874723;0.999999973296953;0.0469188327232021
subject7;1.60743124650643;0.762277808684744;2.02647096544111e-08;3.16009766965777e-08;0.384102514649715;0.99999995896625;0.778850283902283
subject8;4.85844245797413;0.743826040717833;0.370781984080042;0.389999947232362;0.406708928473286;0.27633900302196;0.622323850079502
subject9;7.49936108953526;0.240075148704874;2.9879817849362e-09;0.724735216786956;0.44938162253765;0.669398927092364;0.0159403053072155
subject10;8.4302500165152;0.248029676591082;0.999999980435243;0.764932253015637;0.0835600540834335;0.378300554601802;0.061276513199291
subject11;6.15592750962544;0.133131003456103;0.48141710537173;0.72530196710812;0.0427439927502932;0.818955418672126;0.170027840390702
subject12;5.9346746410957;0.354084188228463;3.45221961598381e-08;0.70802352978828;0.0325204461140156;0.9999999730489;0.118085258372164
subject13;4.57399991665237;0.119231780265445;0.366517749092773;0.326622576783645;0.262187472654759;0.431821748412464;0.336658980989088
subject14;8.4482220417333;0.999999904704156;1.65292456776959e-07;0.826602344970693;0.92057761148786;0.797254158540591;0.104796239375747
subject15;4.09753777673082;0.303155165918447;0.579358370371608;0.328518474827018;0.260320109315513;0.0708721028604537;0.690753633498259
subject16;5.61977342392272;0.02066070407546;1.69794231815131e-07;0.781359405726036;0.761406441646771;0.99999997162927;0.0304665342788951
subject17;14.2922058454597;0.101574984046621;0.411599430021403;0.130015179463773;0.331499569943474;0.127154436568407;0.177929308582546
subject18;5.06148747484038;0.555964680352928;0.655367696269636;0.769774203556443;0.141973930040188;0.99999997417345;0.353473109073816
subject19;6.52230696762382;0.999999975901085;0.413640803973388;0.733550732222214;0.730319663931675;0.660504623991304;0.00415440422500795
subject20;9.83797703440914;0.132253140608448;0.68432124485925;0.879929879546876;0.286629987958107;0.999999996439207;0.4207353490562
subject21;3.75885423193274;0.329601040210336;3.27901170739088e-08;0.796835067613449;0.234817319505959;0.708083974685932;0.558063470126309
subject22;3.36159829625952;4.58977483971633e-07;0.000229999717992698;0.000587183714920596;3.66762601489647e-09;6.69157627618648e-09;0.499971114965175
subject23;4.96609111167977;0.357722060317482;0.469316086177317;0.357292883206489;1.39791080713707e-08;0.510009054262454;0.65861979327406
subject24;4.81463276646883;0.041930784026777;0.446085803996039;0.638683976349697;1.67268329392012e-08;0.448511369362609;0.354547960780631
subject25;3.32171697330375;0.00900363289637326;0.999995895881006;0.0799879844999429;0.220209253166926;1.15130533147323e-07;0.451864080245866
subject26;8.16840399268927;4.16153415176671e-07;0.0265857777187568;0.999999997656651;0.187810694743786;0.716377787722018;0.117017427482422
subject27;7.30384823038546;0.91552340197911;0.145841941362003;0.719754116395284;0.653009941285133;0.655346909121481;0.150514120481576
subject28;6.03202497855462;0.884349126211802;0.999999952968794;0.908255736811467;0.886618904125935;0.475661382559547;0.129709774600235
subject29;7.38293378108741;0.918871122770367;0.263147552023272;0.923455264354657;0.690770834976945;0.927614123410278;0.181997721400739
subject30;7.20864877959151;0.346947185319652;1.51521341248589e-08;0.999999979595556;0.170529456441004;0.861031778487595;0.471119585312788
subject31;10.3310392346078;0.754627585244468;0.00242797863609401;0.999999951866798;0.852862326809439;0.999999974274216;0.11679742791642
subject32;5.16940491045029;0.487838738264968;0.931798994857406;0.808225966876969;0.437796656655918;0.999999974206689;0.522544686768062
subject33;3.19563854284637;0.226196641251139;0.192919641392372;4.82335532516155e-08;5.74230411492371e-08;2.09882741038855e-08;0.499999723692229
subject34;3.9261464826463;0.183853336871311;0.0343677369546455;0.0120089320207749;0.0641672549211909;1.98434799777484e-08;0.540362355786867
subject35;9.56851158317611;0.07679419731004;0.999999972510974;0.999999990252982;0.642272413106024;0.999999996654331;0.105638980493178
subject36;5.83869962681648;0.566947402059312;0.525486113984392;0.861178282604179;0.0658166082969276;0.500979912615814;0.311890067768683
subject37;9.03996099598763;0.0650418913959798;0.999999992521295;0.999999996857977;0.347583490548722;0.897385490424554;0.706716313843707
subject38;3.36385879534171;0.0124124770800386;2.46047202523492e-07;0.15453276668839;0.266684675091766;7.80916685373009e-08;0.426401492030749
subject39;9.6096311105581;0.796060720811564;0.76496341683383;0.806411979550991;0.194257481976328;0.615048844925623;0.24642043808382
subject40;6.17537997036472;0.0261510225484153;1.04893491838414e-05;0.999999834032303;0.823816162184844;0.741199643527123;0.0642197039787681
subject41;8.14674652379683;0.286021350374511;0.99999958487445;0.68646549295776;0.488586579487216;0.806291429066344;0.120057706198471
subject42;4.09464192699373;0.764053710103803;0.481711202266502;0.472164885098046;0.999997669623994;0.148176045227328;0.857142842903256
subject43;7.34077654164298;0.109728484852565;0.442207922966404;0.706478430841551;0.177340272512367;0.50160555435293;0.330908179866523
subject44;13.7665206135186;0.094067773525782;0.999999997178171;0.322729183229971;0.27235229359426;0.999999627085733;0.00443641667521535
subject45;11.6540526813173;0.0785123531521154;0.821119033356019;0.549916220131276;0.238894688960687;0.543546380388508;0.060864096144305
subject46;1.89127610692819;0.270648001713461;9.19552897018032e-07;0.885708465810132;2.37753829032591e-06;1.82263394592554e-07;0.502090497766841
subject47;2.60002786587481;0.107915547223741;0.999999731039258;1.77991991620955e-08;0.300124698099632;0.161301850526846;0.510549471132582
subject48;1.93028391855583;0.533630024870656;0.99856930975511;0.591006531017891;0.996481277232744;0.0356194957329503;0.285714285689097
subject49;7.35315236784159;0.0345806294218212;2.01956317320237e-08;1.06845132742837e-09;7.90557659315205e-09;0.0762430371686655;0.536611550812814
subject51;8.80696467864761;0.835076036293752;0.356681060684565;0.872476902850878;0.530007055707728;0.68881397868614;0.0487105721490259
subject52;4.95403166398916;0.323389742873844;0.285479595848363;0.724732052894855;0.0354882444829811;0.414845726019721;0.0410556241455307
