id;inverse_temperature;learning_rate;eligibility_trace_decay;mixing_weight_low_effort;mixing_weight_high_effort_0;mixing_weight_high_effort_1
subject1;3.31195251832471;0.177068915920399;0.0701829304403179;2.2129744376138e-07;0.668481633824158;2.43548460363705e-07
subject2;3.14139705561206;0.999999997988673;0.999999948035148;0.999999997554955;0.881182187555608;0.999999997014626
subject3;4.96182103320344;0.669073606076025;1.08993097585322e-06;0.999999989716695;0.597512411588449;0.999999980969296
subject4;5.39032562948262;0.999999998427763;0.999999995622748;0.673448736475379;0.999999996868619;0.999999997931368
subject5;7.42637719192037;0.294514569599248;0.826031488378949;0.791121701039444;2.1054554573793e-09;0.935957554586988
subject6;5.22929725023866;0.852051663876274;0.103256383966998;0.976004967332293;0.501194559730395;0.99999999697197
subject7;4.3904321942499;0.0144405253236419;6.36123668201966e-08;0.22893978370555;0.999999972075217;3.14955102290504e-08
subject8;4.05844507190363;0.752071565968;0.315493782929018;0.359577868268096;0.214694434786365;0.189667200398708
subject9;5.49621122978045;0.660571893213611;0.999999908830861;0.999999967252511;0.750130602546212;0.999999989795453
subject10;7.8926843766074;0.442695697869807;0.820958631799669;0.999999990727203;0.242050442937611;0.63388256936169
subject11;2.7612738895189;0.999999986280057;0.355462629979978;0.999999926768366;0.319094672066854;0.999999977502286
subject12;3.7937843306688;0.550017683958757;1.23199565351774e-08;0.964356355927166;0.103853339747806;0.999999988660293
subject13;1.47088163419316;0.984123390677717;0.999999763616963;0.278733448407194;0.999998667772212;0.793276850737065
subject14;5.71275718721166;0.999999614679941;3.42907928343975e-07;0.85398239227044;0.851814938969274;0.859235704814345
subject15;3.42892724026527;0.299814841533626;0.771339783467449;0.315062063213429;0.103996867789411;0.151396759151128
subject16;4.50684383606379;0.847547009244304;0.999999910329228;0.999999998238909;0.97776377425503;0.999999998813622
subject17;7.4981456700796;0.178858417999094;0.428203713905405;0.641475373307118;0.454382376326687;0.213032977771674
subject18;3.41604350255253;0.817347218632404;0.613035252774773;0.833406658145385;0.339785896933848;0.999999996928196
subject19;8.10986213800308;0.614756568835005;0.999999997000043;0.943695501822194;0.695312487952028;0.911948110023881
subject20;4.65599655265421;0.806733522685636;0.514737310873109;0.994002275648918;0.508881487539735;0.999999998037444
subject21;1.74843882546452;0.886718325344759;1.43170867336985e-06;0.999999878582906;0.956211773555445;0.999999527794811
subject22;3.36464847103463;0.002519517371913;1.23993521256434e-06;2.14327387701899e-06;0.999955140682418;1.59434262318009e-06
subject23;4.035277810411;0.304712131568116;0.534403035341828;0.457522293550941;3.52970953482656e-09;0.999999967511137
subject24;1.57408738166986;0.999999983053121;0.336990973738552;0.883332434763337;8.66101566822844e-08;0.999999846867558
subject25;3.39277009168391;0.00294641317445434;1.1160017194306e-06;6.3319615717241e-07;0.998622286130183;0.999996409770621
subject26;4.21142018289233;0.999999987778547;0.91546185254344;0.999999994309102;0.603825852683583;0.548728030776691
subject27;5.13402027577121;0.957123967264393;0.132896083024523;0.611538248117024;0.567096931146562;0.609019513349885
subject28;5.13437572810747;0.96508808473021;0.999999997516555;0.999999992108228;0.802964935746211;0.57532909350237
subject29;5.44747325436102;0.928784680833014;0.217738068146769;0.893013319699874;0.771536964678939;0.78533350182561
subject30;3.54134724081581;0.88436728190278;2.3397122332386e-08;0.99999999834333;0.412563001667436;0.94803044901502
subject31;7.09272333607344;0.926577547748383;0.080151455247837;0.999999979831946;0.895345620213913;0.999999978777715
subject32;2.60785638577322;0.9999999795649;0.803530432159895;0.695625885298597;0.435129016764632;0.946277997958478
subject33;4.51149857802234;0.021027879872458;0.999999118603931;0.999999125828814;4.2190278938386e-07;3.61635428064962e-07
subject34;3.28692877482735;0.14811312985994;3.93840130273601e-08;4.87412581595713e-08;0.775866951585957;0.628936636086635
subject35;5.84825259925621;0.999999999001776;1.22439139724886e-08;0.999999993244525;0.860597366012022;0.999999998423911
subject36;3.9071437033145;0.593484975460619;0.531862062774182;0.999997430528281;0.227344006512511;0.933823627885699
subject37;3.46296683041263;0.999999998972061;0.669361366816234;0.999999996444451;0.594379117886349;0.999999998316374
subject38;3.44361698428906;0.026698899217246;1.39698566487904e-07;1.42255370144334e-07;2.81731690676522e-07;3.98970406810689e-07
subject39;6.0423371401669;0.790219246519811;0.799508224012869;0.999999944574996;0.0776129929815228;0.944101270140102
subject40;4.6085547698936;0.999999752339771;0.0148853047127443;0.95596528838078;0.856914620056134;0.999999421807094
subject41;5.65112216699368;0.657396605666098;0.803416308297742;0.796829174005112;0.614279956404708;0.999999860283702
subject42;7.26165926600712;0.0929989122136502;1.57619568393125e-08;0.857765728810602;1.79417525756128e-08;0.999999972411622
subject43;3.54234274322015;0.633051627077899;0.597652814026593;0.9999999643326;0.531428324058768;0.530574162367716
subject44;8.35864093193462;0.597323140950431;0.999999995041516;0.483538265008027;0.66699203877618;0.774379022208764
subject45;5.54314253357075;0.783293900766578;0.635376421986085;0.840109073822727;0.435254247329041;0.776349714234996
subject46;3.45447519845384;0.00937211744202545;7.73596330005233e-08;3.72807857862367e-08;0.999998761043893;0.999999837444589
subject47;2.40202109356444;0.0972966797380083;0.109892913625377;2.18696318985251e-07;0.24136389373787;0.999999498389534
subject48;1.45886436511565;0.659714903267075;7.76928108226691e-08;0.818056257788611;0.166023895309758;0.999999956522451
subject49;9.34588144144135;0.029035985818289;0.315016685264022;2.64831478193204e-09;0.0350167338190136;3.98645120741014e-09
subject51;6.51663627513318;0.871655904111891;0.264295086040693;0.999999983977185;0.565777414008468;0.853173505857362
subject52;3.79169298634266;0.601718984713051;0.271207618692959;0.999999975398972;0.0536426745067437;0.647517493993682
subject53;5.3276617648494;0.999999970681236;5.12117005812919e-08;0.891947684545884;0.929140479551321;0.995849135944603
subject54;3.86790855121729;0.999999979613926;0.769610328678234;0.99999999709906;0.916713671964452;0.811983627600027
subject55;3.60619389735637;0.983276038474522;0.0751065411172478;0.999999990295543;0.167486696271521;0.999999997435908
subject56;8.43021197710054;0.891793381921828;0.149015193081667;0.999999995557949;0.999999993763368;0.9999999971331
subject57;7.44141170703129;0.0399132409724249;1.69419517169256e-08;0.0713865658406602;2.50595634340418e-08;0.925093017375698
subject58;4.15795746349413;0.0586951267766952;0.688389942881456;0.179466452371025;0.876530032526347;2.46006421822251e-08
subject59;5.30705738267369;0.745742892428103;0.62663319358354;0.71919234399811;0.307476680975323;0.859133585713616
subject60;3.66707811302945;0.0223095809224724;0.999999933198228;2.08189112337174e-07;0.3626813557289;2.09020813362969e-08
subject61;3.47008301585109;0.00667255955936537;8.41528093384334e-07;0.999997646844226;0.999991589452563;6.21905794348195e-07
subject62;3.5381435376219;0.857783358815675;0.242394197741053;0.201948423084289;0.53616171727753;0.32637604420143
subject63;3.61673001690022;0.751504809419411;0.569863192809954;0.999999945916392;0.494269878038269;0.840944857249621
subject64;4.59088184223171;0.906754380421579;0.999999974561309;0.767581732558407;0.527108010613513;0.662847962443796
subject66;4.49734804266296;0.765704389600339;0.495940672533587;0.857813362083648;0.437497877971354;0.999999984823628
subject67;3.05710790620337;0.999995555348501;0.549179242443492;0.637739407658804;0.667354571610981;0.557118768941672
subject68;2.3433250281383;0.999998575823077;0.999999650335549;0.479982282150932;0.671166484033398;0.694033074867314
subject69;4.29279373657532;0.0622526285328699;7.70868830542624e-05;6.72957607607474e-05;0.384423001381887;0.000378687348220771
subject70;1.94852082346461;0.493561006000843;0.999999966879641;0.61976732518586;2.28588733466801e-07;0.999999952626408
subject71;2.07920398217954;0.947407218369703;0.21356934616431;0.999999246157164;0.816338876177062;0.952886920899347
subject72;5.51380408042916;0.337463357852978;4.14793327164219e-09;0.934981562318471;0.425012318416409;0.967747166042613
subject73;7.134475966041;0.671598517277974;0.698215214450145;0.999999986873918;0.432745211431279;0.793400135189433
subject74;3.49463679253254;0.999999997230952;0.999999992923461;0.610569789191523;0.999999989122605;0.808482378559298
subject75;2.53000657724874;0.0895890387010306;2.89420035088267e-07;0.99999986612793;1.30327341167806e-07;0.502580002448675
subject76;6.92399429306523;0.999999999089828;0.0857935831818812;0.775228241192032;0.769215735381036;0.944661615618448
subject77;3.9474810545197;0.287954008403546;0.954086782101828;0.658169488546849;0.240327772145399;0.166178825660237
subject78;2.64376162612069;0.278012026200294;0.645161876711855;5.51205011851872e-08;6.87502343569419e-08;0.221520232304734
subject79;3.75451306836711;0.45810377905423;0.0417824041038388;0.389928874376501;5.66164636292124e-08;0.999999856558314
subject80;4.48587073971282;0.455440354434387;0.999999979011219;0.862264215212968;0.476048974594085;0.99999999560666
subject81;4.22191780295295;0.615825538113084;0.0216820904545573;0.880594065032984;0.204852367056594;0.999999971558241
subject82;3.77973306568801;0.870089664892357;0.414688724201056;0.999999978535695;0.379210140500336;0.774585570917059
subject83;2.82902014476901;0.897112033572711;0.786203345138199;0.879753495641857;0.186729023556511;0.347719687811104
subject84;1.81163650731094;0.708896133362405;0.326436641819458;0.316170601084403;2.19453552894885e-08;2.43118289202651e-07
subject85;1.85844159597242;0.999999979491793;1.12934240917691e-07;0.999999983540268;0.761604712596662;0.464533825706923
subject86;3.40376594030715;0.00775548396220253;0.999999158254644;0.197205861193507;7.74221342558041e-07;1.08838326893793e-06
subject87;3.9329909950372;0.861217003651125;0.776248731681139;0.925670934012485;0.368750852885784;0.999999994994899
subject88;4.01776629810667;0.839371910072648;0.256632097748593;0.999999863205741;0.492945159214724;0.999999224857022
subject89;3.93377379559107;0.673375846119087;0.718789862528954;0.852544139149232;0.339428283330199;0.999999481652699
subject90;3.08073414635445;0.102674638556593;4.77708108547719e-08;6.96936597962292e-08;0.326724961528881;0.999999848339996
subject91;5.61299364308497;0.999999998587481;0.999999996082568;0.999999997667313;0.704791457732346;0.999999996434659
subject93;4.16683060865545;0.829337780765031;0.908320241927873;0.999999992556959;0.603223673398735;0.999999991592771
subject94;6.11449230924617;0.879844975780915;0.222551628233042;0.999999995269941;0.592842936151266;0.999999996860915
subject95;3.60505287522035;0.561594565397983;0.138638080275896;0.542425828136483;0.296171242592902;0.678126667945018
subject96;2.22623849229518;0.866416246272986;9.91371287038994e-08;0.9999999909858;0.866392022435231;0.999999972135792
subject97;3.9641688144705;0.762679627835;0.999999988404772;0.212528876578574;0.460711173608197;0.121592078648842
subject98;5.76541277016662;0.684485992239309;0.999999992840165;0.584152162439601;0.416850010924157;0.503542800260703
subject99;6.18668581606233;0.822619114547985;0.108715581034951;0.764395671838814;0.674978820791442;0.962355144053677
subject100;2.25877772822649;0.372953545548157;0.735388467965121;0.999994144828145;0.82974106431801;2.28423659347596e-08
subject101;4.85640747781441;0.822588536742175;2.36169231217534e-08;0.819122310094059;0.551947887957931;0.888359838829459
