id;inverse_temperature;reward_learning_rate;eligibility_trace_decay;low_mixing_weight_working_memory;high_mixing_weight_working_memory;choice_stickiness;response_stickiness
1;0.891553888578176;0.276831678929462;0.386290874096344;0.689772512477043;0.621916570842462;0.934463848256219;-0.297214100029851
2;0.346088675574027;0.657379730818461;0.542894212355341;0.847967902323547;0.405216702782264;0.069416295744726;0.85184813905789
3;1.04719381050488;0.00895474465987496;0.359824071816081;0.176415360987485;0.84708459811573;-0.847607345188875;-0.148306187277173
4;1.05687725725472;0.0441197006856162;0.368103458722676;0.098865930005854;0.828612201100954;-1.13497759867491;0.0112550233114209
5;0.0802328240697546;0.349870106966855;0.489136399525552;0.453228546492854;0.512738564814413;0.312508610981426;0.0533126785583732
6;0.592501653325931;0.495320308152994;0.448739030962533;0.470973199296125;0.264157582356734;0.102003192412041;-0.177570072482787
7;0.8391346288477;0.0860719175874752;0.414175111112199;0.651668228150462;0.762971806869082;-0.160268366542165;-0.185292021683584
8;0.56439547510856;0.0344388287364063;0.264478499925562;0.189762610067366;0.745241624158499;0.119096278243393;-0.930952849733805
9;2.10792874175858;0.098578654421212;0.203419693717078;0.0905872460400742;0.15479601208905;0.650849748301538;0.332717317032339
10;0.475713280503347;0.0133568565206808;0.398145921415256;0.377858308191187;0.74480310342649;-0.507525594047999;-0.329879418403484
11;0.826514789803004;0.0946789906561063;0.472310608164863;0.747225079099294;0.795433257716522;0.8171729071629;-0.0403262018891458
12;0.424174286773903;0.0566881533954072;0.353909641997961;0.454223262609292;0.644777904598171;0.419210094473149;-1.21793073827671
13;0.396173529443563;0.0954695737972989;0.36124543041029;0.160022781732523;0.378246775360407;-0.239969913134222;-0.643814043445713
14;0.246691622374534;0.546984296944129;0.720598088952099;0.486107870184926;0.136641087384227;-0.210244748367766;-0.738491723505548
15;0.813344512815671;0.0595473318682945;0.414534730371817;0.373678830648786;0.788288362756034;1.06412328704992;-0.715348714342304
16;1.4563675659597;0.183142734605388;0.536337947909568;0.327940310995194;0.530923813268759;0.171240620138136;-0.0246384019898295
