被试编号,数据广度顺背分数,数据广度倒背分数,工作记忆广度,inverse_temperature,reward_learning_rate,eligibility_trace_decay,transition_learning_rate,mixing_weight_low_stable,mixing_weight_high_stable,mixing_weight_low_variable,mixing_weight_high_variable,fai_decay_wm,choice_stickiness,response_stickiness,points_bc
12-034,14,8,22,0.306589881,0.114423986,0.577628419,0.689036555,0.166719455,0.308218156,0.215617243,0.607389902,0.398719512,0.615433895,-0.009374023,0.280979827
12-035,12,10,22,0.941492311,0.091873413,0.308229176,0.020080213,0.615875792,0.847429283,0.107769524,0.273039651,0.54052536,0.197956953,-0.073274687,0.57223796
12-036,10,12,22,0.678805919,0.625944498,0.546651665,0.624052351,0.723664862,0.790620607,0.602953971,0.729803727,0.204366304,0.865347146,0.177177659,0.573275862
12-037,14,9,23,0.193301209,0.44673066,0.416443316,0.381350529,0.259154609,0.696315256,0.353538494,0.546643906,0.562304886,-1.043695706,1.003433182,0.169491525
12-038,,,,0.439090973,0.196792737,0.740325704,0.83483632,0.173174833,0.145935302,0.474431403,0.780890701,0.165014758,1.315107581,0.453259718,0.255617978
12-039,12,15,27,1.738149769,0.052951556,0.434409011,0.896157325,0.877309914,0.728668455,0.466535082,0.464848857,0.493972983,0.236154022,-0.009860886,0.75210084
12-040,7,6,13,0.414179104,0.113011455,0.308367889,0.736701363,0.227038163,0.054676224,0.506058479,0.426839437,0.198632732,0.456458383,-0.46073612,0.187323944
12-041,12,10,22,1.513708029,0.309031463,0.527652718,0.753966029,0.762096862,0.778920247,0.595174438,0.427198039,0.510005417,0.39318756,0.103772364,0.775423729
12-042,16,4,20,0.420445512,0.840873754,0.350541972,0.204075549,0.729656707,0.42466852,0.560798118,0.173140534,0.41820884,1.919625851,-0.301222904,0.287323944
12-043,15,8,23,1.585293064,0.03911283,0.371620666,0.774580712,0.504265012,0.865241221,0.650546912,0.791543474,0.462872918,-0.357303,-0.043945899,0.688547486
12-044,13,12,25,1.050088837,0.077200192,0.370390034,0.774776076,0.46568605,0.813960121,0.54601076,0.699761622,0.562107347,0.064662171,0.03499444,0.631355932
12-045,16,12,28,1.816520137,0.102701559,0.538652348,0.644713418,0.858347193,0.813532558,0.541742143,0.332415635,0.41707828,0.363009469,-0.047331305,0.662356322
12-046,9,6,15,0.430106761,0.302908445,0.183678896,0.502365564,0.324063153,0.140447585,0.413206112,0.338299421,0.217618454,-0.565329751,-0.623788798,0.317757009
12-047,9,5,14,0.768467393,0.583085255,0.833386407,0.239013118,0.541566231,0.735876653,0.488678123,0.749693701,0.525969488,0.6355803,0.032847745,0.536516854
12-048,11,8,19,2.851472304,0.055215449,0.42940502,0.796613551,0.082004309,0.129888656,0.067089499,0.099361832,0.551424584,0.308951264,-0.002115391,0.364942529
12-049,12,6,18,0.421206104,0.782830014,0.497820839,0.04521482,0.572437979,0.178363678,0.620984577,0.226770492,0.76502621,0.779130882,-0.304332056,0.159663866
