id;inverse_temperature;reward_learning_rate;eligibility_trace_decay;transition_learning_rate;mixing_weight_low_stable;mixing_weight_high_stable;mixing_weight_low_variable;mixing_weight_high_variable;fai_decay_wm;choice_stickiness;response_stickiness
12-001;0.85393667935028;0.920020513564511;0.616860024283135;0.109414469592304;0.842400821960618;0.77341684052665;0.493901994459053;0.528281017241541;0.473769059555658;1.61687736147954;-0.0668741556584067
12-002;0.528767592148461;0.875762101973665;0.587287792976796;0.78551618105966;0.731837563790625;0.427822770976174;0.689380812538158;0.786741732197859;0.555816088166003;0.430332597991816;0.0867368042266246
12-003;0.377941512443112;0.788776445598962;0.803878701790906;0.665964426500416;0.634113458711367;0.521566921173029;0.468439066446681;0.623083124558435;0.658898616183324;0.894414053816624;-0.832776128901384
12-004;1.61165786832059;0.0874585548435182;0.632492273186984;0.818299558480876;0.726338477102022;0.881677257888267;0.28683767656114;0.225431437442973;0.285159558050146;0.151232365103227;-0.150412489467569
12-005;1.0882217788094;0.0351917259957684;0.3831538238175;0.844801694396165;0.726334462142232;0.823057876365922;0.287330987727283;0.356649584542687;0.390572736791189;0.710433295652309;-0.0914208411387479
12-006;0.340238779318653;0.253288614050855;0.676546587021802;0.368668176473682;0.761255055117744;0.356493491429616;0.566442612015262;0.350241671387858;0.437957888447931;1.00676609509949;-0.449216669860499
12-007;0.826744856614352;0.125682744081047;0.225505097741038;0.772766701619659;0.826063762287938;0.805839095648532;0.406722269758435;0.449066479744532;0.697554695366487;0.810499178572298;-0.124363247999733
12-008;0.826677337915158;0.764832889221757;0.505279351104713;0.532016775504554;0.688395491760012;0.756776127527291;0.413726517923295;0.617078017479046;0.337546231591031;0.839028809614675;-0.735656313524555
12-009;0.459667138185708;0.137938393185823;0.239381765922754;0.666299619673089;0.188709507373441;0.159510379889188;0.0478752830585076;0.786213644515876;0.693794864146825;-0.401950562543294;-0.101870026926759
12-010;0.717400017197108;0.76949220157627;0.816468106325163;0.117249121110434;0.508713471047077;0.41371088885641;0.666692688985184;0.487160195164246;0.351804997395975;1.06697305156646;-0.00713464787696904
12-011;0.619602324269186;0.0653249109486639;0.565122105746625;0.825898980472077;0.0878381584473931;0.231568836194425;0.682411506861458;0.750900173361944;0.719213135939595;0.322083775116168;-0.0149290604785636
12-012;1.1533194515112;0.382183747180579;0.334302427036732;0.704888046530125;0.707533371296878;0.821182805309407;0.420347006320162;0.660689658523986;0.23682656669877;0.508422122261199;-0.015285259260638
12-013;0.298303547456202;0.717859341985087;0.481881265692304;0.795384040552309;0.39113947698598;0.192323964182406;0.633205315244883;0.846803648297392;0.609045674821836;1.30190895964019;0.165481802952406
12-014;0.845623624121168;0.792355237539615;0.346524595334889;0.101875464945664;0.810547213267867;0.717106305477371;0.584881922119097;0.630279111625737;0.222556417164498;0.632407315731195;-0.0270576117255678
12-015;0.2359720969501;0.76844935391571;0.816755078620512;0.797858375108989;0.434615253945743;0.245812894542934;0.744482569878951;0.615659461358633;0.761623396305564;0.496585954573589;-0.158014577381443
12-016;0.379813683273103;0.81884673815759;0.402979473498773;0.0730623592291475;0.42970531851521;0.24690556170782;0.640474580579768;0.53582993075718;0.699793249701065;1.4649861744856;-0.596776321351042
12-017;0.700061755262411;0.271581680654111;0.400643427738501;0.615839276006989;0.74526662407537;0.836427509740483;0.373316929573276;0.138991784393506;0.164340566510644;1.19766104995607;0.0886272266268001
12-018;0.257209738103016;0.383388828843654;0.396723855727291;0.141856534787635;0.382994874656229;0.670747577775219;0.6842020007941;0.297921968774534;0.377682308859938;-0.365575490903048;-0.841052782664988
12-019;0.347884904394026;0.0388164899377752;0.308478794804506;0.373415528574824;0.119424881649269;0.316838041170455;0.182103025013507;0.141284760275465;0.645480988277156;-0.134491787768179;-1.86373667632998
12-020;0.3056541261007;0.553779457268905;0.654057862227948;0.828589907793764;0.18320159661385;0.265462306011814;0.744066598647514;0.678615909979179;0.49566910755365;2.02276572913009;0.149311486017669
12-021;0.755981197497007;0.417963227770722;0.450996484953869;0.628903500574772;0.853700357592387;0.82288163291163;0.609908083553513;0.184828539796989;0.0201003182997753;0.91070107030888;0.368901166255202
12-022;0.609930482646312;0.551652661637699;0.753536311137502;0.353130873960778;0.467821034395024;0.518905366510279;0.773667431882788;0.68552166145883;0.761178890507407;1.09745255834057;0.0446696463275721
12-023;1.29380868478375;0.0550626899547359;0.371566448613845;0.883366546108783;0.755365391589771;0.859380280132629;0.50389938749518;0.430138006057984;0.399099610972054;0.276727274610445;-0.00540305496863643
12-024;0.225050808803251;0.88361111158088;0.8724391524165;0.699796102472904;0.27335442585628;0.337837596005564;0.62750669468989;0.868288257178684;0.690971396180947;1.62149511310957;-0.0778576594009933
12-025;0.462611189307643;0.459220370547768;0.237588069210841;0.568284760799357;0.515887909569416;0.477982489359906;0.700108669041381;0.498465487791618;0.0753106182795604;1.17139889160645;0.420319880225693
12-026;0.746309838798746;0.354702986053014;0.833255233522469;0.806820861683318;0.339103426434445;0.599160952092421;0.81388327473755;0.803735367202765;0.42476737490458;0.549077417080466;0.246040112617936
12-027;0.877644560427171;0.880958463828681;0.484817507631723;0.637434880742612;0.849692822434288;0.848360814583998;0.46006389560539;0.538159074049614;0.382835801421081;0.540742620845691;0.162922308844194
12-028;1.19562695119678;0.0245666044524428;0.577752929596168;0.877636363391546;0.491701002687813;0.778209083018318;0.308786770583859;0.0948790832751047;0.041827665048765;0.932998701194934;0.0146415744548766
12-029;1.78294577399149;0.0380575760320151;0.198469510946892;0.812635694907161;0.82604630396414;0.873993878880261;0.405971272624504;0.345864723049621;0.284390205033747;0.718156762133074;-0.0391008553056699
12-031;0.660048496212547;0.788179311186664;0.529083005594038;0.84766696096488;0.702735961065751;0.734567008294881;0.671063402726982;0.546118797214788;0.268206797543032;0.619782004138474;0.0212964755310333
12-032;0.780488875803002;0.800869796141781;0.466771750684087;0.844523277792718;0.901986564107838;0.89174408670055;0.591579322740743;0.730296180135625;0.368186038357466;0.624332819411089;-0.164933880174944
12-033;0.669700420314689;0.834397851050087;0.762302047885063;0.219768637105765;0.740789172155666;0.630682228964513;0.395910307430352;0.458167489491404;0.254701628866904;0.35949966894156;-0.0992073481537123
12-034;0.306589880690481;0.11442398578189;0.577628419267941;0.689036554880147;0.166719454946798;0.308218156376359;0.215617242617624;0.60738990233915;0.398719512477155;0.615433895252188;-0.00937402328639295
12-035;0.94149231108432;0.0918734129227612;0.308229176494758;0.0200802126695069;0.61587579158538;0.847429282755069;0.107769524472765;0.273039651397122;0.540525360421835;0.19795695314913;-0.0732746874054187
12-036;0.678805919443782;0.62594449771795;0.546651665132789;0.624052351415169;0.723664862300741;0.790620607125554;0.60295397065498;0.729803726722433;0.204366303722621;0.865347145948648;0.177177659322906
12-037;0.193301208569434;0.446730659940215;0.416443316188208;0.381350529283997;0.25915460877477;0.696315255994029;0.353538493714892;0.546643905904087;0.56230488593385;-1.04369570596767;1.00343318184476
12-038;0.43909097292326;0.196792737000053;0.740325704255007;0.83483632048298;0.173174833158487;0.145935302072376;0.474431403252885;0.780890701258323;0.165014758290075;1.3151075808745;0.453259718411828
12-039;1.73814976877016;0.0529515559717562;0.434409010545171;0.896157324843065;0.877309914342443;0.728668454763134;0.466535081633338;0.464848856833754;0.493972982932531;0.236154022253288;-0.00986088642407394
12-040;0.414179104242515;0.113011454541306;0.308367888628663;0.736701363446199;0.227038162970138;0.0546762244038957;0.506058479174906;0.42683943661447;0.198632732419654;0.456458383211558;-0.460736119807634
12-041;1.5137080287632;0.30903146254478;0.527652718472767;0.753966029351185;0.762096862189835;0.778920247012708;0.595174438326572;0.427198038868045;0.510005416960201;0.393187560290738;0.103772363651962
12-042;0.4204455121124;0.840873754358523;0.350541971888316;0.204075548573736;0.729656707174713;0.424668520349003;0.560798118454151;0.173140534131744;0.418208839857699;1.91962585113878;-0.301222904388855
12-043;1.58529306404787;0.0391128300346397;0.371620666100646;0.774580712101654;0.50426501213905;0.865241221251492;0.650546911956889;0.791543474283287;0.462872917604572;-0.357303000194317;-0.0439458991515863
12-044;1.05008883701111;0.0772001915022011;0.370390033601711;0.774776075888263;0.46568604966661;0.813960120988204;0.546010759695786;0.699761621937804;0.562107346880115;0.0646621707790792;0.034994440100471
12-045;1.81652013721627;0.102701558729823;0.538652348105036;0.644713418447947;0.858347192870198;0.813532558003093;0.541742142797868;0.332415634899598;0.417078279650404;0.363009468982786;-0.0473313047252237
12-046;0.430106760763789;0.302908444671967;0.183678896363071;0.502365563833624;0.324063153131954;0.140447585480518;0.413206112444256;0.338299421302788;0.217618454349832;-0.565329751214778;-0.623788798008733
12-047;0.768467393339196;0.583085254589579;0.833386406782306;0.239013118437541;0.54156623084932;0.735876652913651;0.488678123056929;0.74969370146441;0.52596948840568;0.635580300369763;0.0328477452417512
12-048;2.85147230366545;0.0552154486132142;0.429405019828347;0.79661355113582;0.0820043094156864;0.129888656430801;0.0670894986812319;0.0993618323045737;0.551424584357728;0.308951264242459;-0.00211539090947954
12-049;0.421206104451246;0.78283001400479;0.497820838777536;0.0452148202009625;0.572437979035091;0.178363678490231;0.620984577459499;0.226770491704583;0.765026210426449;0.779130881964185;-0.304332055846679
12-050;1.01998177014843;0.0589175800305837;0.401675107854784;0.618709422039;0.755524481235496;0.782741236449175;0.220392877338006;0.263934663716958;0.0280682174662198;0.413178980173828;0.153486206239347
12-051;0.429372647359797;0.902642741939572;0.38343074529276;0.661933984865691;0.559057579218807;0.850934356351002;0.596661206820812;0.513651071491507;0.436849111403371;0.495939473277363;-0.0923093819347535
12-053;1.26343102463046;0.0777380043770426;0.0889723835601848;0.766845404004644;0.138392250748325;0.240605891672639;0.139426207034619;0.403539367098266;0.777582389643251;0.430686425967854;-0.681651545774971
12-054;0.339681839132912;0.0784669222420984;0.248345037169937;0.5968700498644;0.209413325279748;0.108050039229181;0.243126604557196;0.700641709438658;0.433976154505953;-0.222771488128074;1.14520506065966
12-055;0.371741514989006;0.60399633960384;0.551512903048597;0.60057442444023;0.751329490760634;0.456185620894781;0.705031948662087;0.416805764000385;0.51661887788762;1.0606427654088;-0.79298248106264
12-057;0.47056980037411;0.8488320304033;0.763176302473944;0.812209173904164;0.586815952697255;0.579447689523602;0.400283646012716;0.769489767071161;0.354996808881474;0.894413537073539;0.166114620665199
12-058;0.321427413419786;0.709718778405248;0.842872959565619;0.559245466827467;0.653122990410208;0.246553068102477;0.667116415864928;0.366630708596283;0.612949951225718;0.313884949741774;0.0386909418241596
