id;inverse_temperature;reward_learning_rate;eligibility_trace_decay;transition_learning_rate;mixing_weight_low_stable;mixing_weight_high_stable;mixing_weight_low_variable;mixing_weight_high_variable;choice_stickiness;response_stickiness
12-001;0.62225616235094;0.922016755097316;0.585042825370786;0.125203402412392;0.790089033906336;0.835991630339391;0.381560376553074;0.335608537176065;1.66347761024348;-0.0591188504744416
12-002;0.387556923195681;0.857455071552341;0.642283790264859;0.796114334702843;0.742661328605932;0.45369096144269;0.433288553388323;0.658448051107617;0.618194712986214;0.0563480593820335
12-003;0.295566228433578;0.743029845006562;0.788995684802229;0.70061739699084;0.577496216289673;0.485245349455521;0.347233367506247;0.521782672509088;1.0675893316881;-1.0028919229529
12-004;0.884904359825248;0.223882392780043;0.636931774780414;0.802868560548257;0.75648554859908;0.885673696193244;0.36014946274113;0.312468815229567;-0.0785868231181368;-0.210539664511586
12-005;0.668895274265592;0.0534418131867378;0.458088766093409;0.835565424205642;0.603201524011608;0.789181780606708;0.329749882710069;0.444057600644806;0.926154069245424;-0.258980840471184
12-006;0.290615969497591;0.239752889074243;0.629829283904452;0.418985330525213;0.611866863957784;0.274296522699;0.693340775007939;0.334896757812634;1.07301833599056;-0.514195687389024
12-007;0.635799227088521;0.0809398015672931;0.264052567709462;0.723603654982181;0.825335029772331;0.634533143777648;0.246430567215188;0.35978537022624;1.05572049417746;-0.0854269259004386
12-008;0.613877173151352;0.815512286283627;0.476354363001076;0.542457567315401;0.6250325108708;0.784522311422284;0.305083363447328;0.445009366921804;0.764990477241831;-0.90893298429948
12-009;0.303081661163152;0.18012812390913;0.219091297953304;0.729836764839696;0.114723152034283;0.203865241492681;0.0574615788798932;0.709102246896657;-0.33639240685914;-0.0760099949225858
12-010;0.514614392840734;0.688467628754398;0.803977056655134;0.6435817800201;0.428194633613303;0.473179203841741;0.44945191122332;0.391385264511896;1.39522175558449;-0.064415481407402
12-011;0.398555076348367;0.114996072147249;0.60654717264638;0.727681453409231;0.128701473075141;0.202832450249479;0.523823325418322;0.714934163539917;0.552480306565655;0.100942692034931
12-012;0.837710059834829;0.456382336398635;0.324962301762364;0.708934479348065;0.627208810420875;0.775256616531673;0.408703058948172;0.72763924767279;0.358575227921634;-0.039920657667258
12-013;0.236215687298019;0.770907587388234;0.549882580124135;0.674931977095823;0.305914787796744;0.15605928755145;0.386029516369342;0.775544582218214;1.54068200656931;0.266848770456828
12-014;0.728589982084494;0.29203769671335;0.288496429908888;0.789486911058276;0.713936062129495;0.537043068684422;0.470320373431361;0.37600570790115;0.534725811208037;0.00151190208172927
12-015;0.178423356439024;0.775487667981799;0.820893494484834;0.722777202407519;0.209766097636277;0.12380851817052;0.534625067575607;0.614418869396831;0.643822749940162;-0.142678686202826
12-016;0.324925712948504;0.735182419414046;0.309622150132043;0.0814539575536282;0.490849691703883;0.263210013948201;0.292800185970193;0.66824351756331;1.56396050102987;-0.576627516511768
12-017;0.564445871964296;0.33013802941892;0.439538464994427;0.568437098946029;0.738894857214831;0.784938514125551;0.3631609690196;0.0947426086858603;1.23974997577442;0.138876323682073
12-018;0.22445751368535;0.379687945671889;0.391497991091779;0.117579213347381;0.356844888447993;0.644039297175197;0.630739510078919;0.289540905059051;-0.385479603903942;-0.927885675481182
12-019;0.341467792855152;0.0365345758316565;0.292259982617058;0.401011040014992;0.110620194827305;0.247246519258753;0.21511291272725;0.0852710303905216;-0.0592243631216823;-1.89376579627255
12-020;0.263522761681211;0.571320238052251;0.65522948906725;0.824798189976856;0.119991119838344;0.129713129318619;0.706550425090703;0.64825654929334;2.13784010815704;0.247805375600115
12-021;0.717379521159382;0.452750620929386;0.411489141781454;0.630353260472812;0.854653432963253;0.796430786240311;0.602199561074614;0.193690480862939;0.832154188318441;0.39364650586728
12-022;0.442054332439727;0.462314760689147;0.700035499665095;0.502554460201928;0.318420266537096;0.456617591694212;0.47888463195128;0.500387315890539;1.39122385142751;0.0148714903941375
12-023;0.993055138199507;0.058499628456966;0.445255181776808;0.823419469718312;0.644256747729147;0.863737169842415;0.444248307657925;0.391493990235713;0.021491387124736;0.0298694451240573
12-024;0.164793957494464;0.848199819258892;0.81898973579825;0.608090213378117;0.255664574404241;0.343551835869118;0.473191042910204;0.67928900323678;1.76565952044284;-0.0900248595118891
12-025;0.443580675786158;0.439470250883354;0.233625961310139;0.582349779718847;0.517323388183612;0.473982030438276;0.650346899629759;0.473184164059624;1.18108300069184;0.457063305281884
