id;inverse_temperature;reward_learning_rate;eligibility_trace_decay;mixing_weight;choice_stickiness;response_stickiness
1;0.59803201003493;0.934249049235593;0.553305802990611;0.911096413915672;0.392513061712906;-0.79267710579355
2;0.208402962059608;0.433196408096666;0.422305269078774;0.430966687851489;0.0943603559350276;-1.27459883651826
3;0.752912757731003;0.510662604275169;0.349731567401119;0.868838850254105;0.218195945840954;0.189921156177602
4;0.563201132821668;0.903882378493874;0.5450483363605;0.852014682380136;-0.460852664530369;-0.692672216104436
5;0.300819926295763;0.712740421561448;0.468407385754085;0.293063007534685;1.0224330251948;-0.38816984024074
6;0.394800594933848;0.810235890807149;0.666732420672577;0.510472864992954;0.425589544895697;0.18604508922888
7;1.01025245027767;0.0883202917941759;0.422986303385078;0.33640633460187;0.0323376886182716;2.13116967915863
8;0.399848393583807;0.635081142990084;0.542932301615022;0.716087677853702;0.686811660110732;-0.466666375846062
9;0.573428878899601;0.908801333993947;0.717698031934824;0.884943353871886;1.15696681571634;-0.45335784800973
10;0.572827328669648;0.898703244833456;0.557739549153989;0.913247657541658;0.739811809795327;-0.0459885766614132
11;0.790695295932545;0.862319420822016;0.634793915879922;0.758755744966257;0.467030008515288;-0.0197969294660578
12;0.577693904993375;0.836877189052088;0.886539345097395;0.197430507875699;0.525750357168095;-0.390038949667816
13;0.704610142579504;0.907254107434703;0.462911275069821;0.827912269330471;-0.399726147641341;0.268478461336952
14;0.243405050443772;0.166716584894542;0.430239054237549;0.412925987833831;1.12320016707286;-0.73526590421465
15;0.554291476621422;0.0287312522327356;0.425607765620686;0.363665122104562;-0.18091940881335;-1.40858623215048
16;0.488313077990817;0.822288009428635;0.858514585332186;0.181005666530161;0.539633221080817;0.017993155918001
17;0.447828095975769;0.905245454651852;0.609946571998127;0.0704065511995726;0.218684859545196;0.299365817894238
18;0.348834074693851;0.894124760806918;0.568996567267498;0.533481462148418;0.249731265374378;0.0823146332155475
